#label	id	bgsl_curator_meta
LDN-F	https://glycosmos.org/glycans/show/G02240AO	"{""keep"": true, ""suggested_class"": ""1B""}"
LacNAc	https://glycosmos.org/glycans/show/G66213AR	"{""keep"": true, ""suggested_class"": ""1B""}"
LacNAc-Gal	https://glycosmos.org/glycans/show/G06580KR	"{""keep"": true, ""suggested_class"": ""1B""}"
Lacto-N-Neotetraose	https://glycosmos.org/glycans/show/G48059CD	"{""keep"": true, ""suggested_class"": ""1A""}"
Lacto-N-Tetraose	https://glycosmos.org/glycans/show/G45827GY	"{""keep"": true, ""suggested_class"": ""1A""}"
Lactogangliotetraosylceramide	https://glycosmos.org/glycans/show/G62554JH	"{""keep"": true, ""suggested_class"": ""1A""}"
Lactosylceramide	https://glycosmos.org/glycans/show/G84224TW	"{""keep"": true, ""suggested_class"": ""1A""}"
Lactotetraosylceramide	https://glycosmos.org/glycans/show/G00049MO	"{""keep"": true, ""suggested_class"": ""1A""}"
Lc3	https://glycosmos.org/glycans/show/G06239NA	"{""keep"": true, ""suggested_class"": ""1A""}"
Lc4	https://glycosmos.org/glycans/show/G00049MO	"{""keep"": true, ""suggested_class"": ""1A""}"
M3FX	https://glycosmos.org/glycans/show/G47379VH	"{""keep"": true, ""suggested_class"": ""2D""}"
Neu5Ac(a2-3)Gal(b1)	https://glycosmos.org/glycans/show/G30207PZ	"{""keep"": true, ""suggested_class"": ""2A""}"
Neu5Ac(a2-3)Gal(b1-3)GalNAc	https://glycosmos.org/glycans/show/G56299XO	"{""keep"": true, ""suggested_class"": ""2A""}"
Neu5Ac(a2-3)Gal(b1-4)Glc	https://glycosmos.org/glycans/show/G56516VH	"{""keep"": true, ""suggested_class"": ""2A""}"
Neu5Ac(a2-3)Gal(b1-4)GlcNAc	https://glycosmos.org/glycans/show/G10203DW	"{""keep"": true, ""suggested_class"": ""2A""}"
Neu5Ac(a2-6)Gal	https://glycosmos.org/glycans/show/G44345UH	"{""keep"": true, ""suggested_class"": ""2A""}"
Neu5Ac(a2-6)GalNAc	https://glycosmos.org/glycans/show/G08371CD	"{""keep"": true, ""suggested_class"": ""2A""}"
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal	https://glycosmos.org/glycans/show/G82775QT	"{""keep"": true, ""suggested_class"": ""2A""}"
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-3)GalNAc	https://glycosmos.org/glycans/show/G93910CU	"{""keep"": true, ""suggested_class"": ""2A""}"
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc	https://glycosmos.org/glycans/show/G81928IQ	"{""keep"": true, ""suggested_class"": ""2A""}"
Neu5Ac(a2-8)Neu5Gc(a2-3)Gal	https://glycosmos.org/glycans/show/G82974JM	"{""keep"": true, ""suggested_class"": ""2A""}"
Neu5Ac(a2-8)Neu5Gc(a2-3)Gal(b1-4)Glc	https://glycosmos.org/glycans/show/G95233MF	"{""keep"": true, ""suggested_class"": ""2A""}"
Neu5Gc(a2-3)Gal	https://glycosmos.org/glycans/show/G53517XC	"{""keep"": true, ""suggested_class"": ""2A""}"
Neu5Gc(a2-3)Gal(b1-4)Glc	https://glycosmos.org/glycans/show/G32969VW	"{""keep"": true, ""suggested_class"": ""2A""}"
Neu5Gc(a2-3)Gal(b1-4)GlcNAc	https://glycosmos.org/glycans/show/G48236KP	"{""keep"": true, ""suggested_class"": ""2A""}"
Neu5Gc(a2-8)Neu5Ac(a2-3)Gal	https://glycosmos.org/glycans/show/G61424BA	"{""keep"": true, ""suggested_class"": ""2A""}"
Neu5Gc(a2-8)Neu5Gc(a2-3)Gal	https://glycosmos.org/glycans/show/G16142UJ	"{""keep"": true, ""suggested_class"": ""2A""}"
O-GlcNAc	https://glycosmos.org/glycans/show/G49108TO	"{""keep"": true, ""suggested_class"": ""2B""}"
O-acetyl-GD3	https://glycosmos.org/glycans/show/G74121RX	"{""keep"": true, ""suggested_class"": ""1A""}"
Paragloboside	https://glycosmos.org/glycans/show/G58896AZ	"{""keep"": true, ""suggested_class"": ""1A""}"
Poly-KDN	https://glycosmos.org/glycans/show/G42911NE	"{""keep"": true, ""suggested_class"": ""1B""}"
SD1a	https://glycosmos.org/glycans/show/G63813EJ	"{""keep"": true, ""suggested_class"": ""1A""}"
SM3	https://glycosmos.org/glycans/show/G20044TD	"{""keep"": true, ""suggested_class"": ""1A""}"
SM4s	https://glycosmos.org/glycans/show/G72548RZ	"{""keep"": true, ""suggested_class"": ""1A""}"
SSEA-1	https://glycosmos.org/glycans/show/G85497PI	"{""keep"": true, ""suggested_class"": ""1A""}"
SSEA-3	https://glycosmos.org/glycans/show/G25129BT	"{""keep"": true, ""suggested_class"": ""1A""}"
SSEA-4	https://glycosmos.org/glycans/show/G84263XI	"{""keep"": true, ""suggested_class"": ""1A""}"
VIM-2	https://glycosmos.org/glycans/show/G22418PV	"{""keep"": true, ""suggested_class"": ""1A""}"
Xylogalacturonan	https://glycosmos.org/glycans/show/G00367NK	"{""keep"": true, ""suggested_class"": ""1C""}"
Xyloglucan	https://glycosmos.org/glycans/show/G25326UC	"{""keep"": true, ""suggested_class"": ""1C""}"
amylose	https://glycosmos.org/glycans/show/G05740LL	"{""keep"": true, ""suggested_class"": ""1C""}"
cellobiose	https://glycosmos.org/glycans/show/G55560AP	"{""keep"": true, ""suggested_class"": ""3B""}"
cellotriose	https://glycosmos.org/glycans/show/G50026IZ	"{""keep"": true}"
chitin	https://glycosmos.org/glycans/show/G97099AY	"{""keep"": true, ""suggested_class"": ""1C""}"
gellan	https://glycosmos.org/glycans/show/G41181BF	"{""keep"": true}"
gentiobiose	https://glycosmos.org/glycans/show/G47329OU	"{""keep"": true}"
iGb3	https://glycosmos.org/glycans/show/G78074HX	"{""keep"": true, ""suggested_class"": ""1A""}"
iGb4	https://glycosmos.org/glycans/show/G57710SU	"{""keep"": true, ""suggested_class"": ""1A""}"
isomaltose	https://glycosmos.org/glycans/show/G36281WI	"{""keep"": true, ""suggested_class"": ""3B""}"
isopanose	https://glycosmos.org/glycans/show/G37117TJ	"{""keep"": true, ""suggested_class"": ""3B""}"
lactose	https://glycosmos.org/glycans/show/G15541SE	"{""keep"": true, ""suggested_class"": ""3B""}"
maltose	https://glycosmos.org/glycans/show/G44653LT	"{""keep"": true, ""suggested_class"": ""3B""}"
melibiose	https://glycosmos.org/glycans/show/G66481II	"{""keep"": true, ""suggested_class"": ""3B""}"
nLc4	https://glycosmos.org/glycans/show/G58896AZ	"{""keep"": true, ""suggested_class"": ""1A""}"
nLc6	https://glycosmos.org/glycans/show/G84034JH	"{""keep"": true, ""suggested_class"": ""1A""}"
panose	https://glycosmos.org/glycans/show/G44612JM	"{""keep"": true, ""suggested_class"": ""3B""}"
