#label	id	bgsl_curator_meta
N-Glycan	http://rdf.glycoinfo.org/glycan/G00027MO	"{""keep"": true, ""suggested_class"": ""3A""}"
Glycosphingolipid Mollu	http://rdf.glycoinfo.org/glycan/G00015MO	"{""keep"": true}"
O-Glycan core 1	http://rdf.glycoinfo.org/glycan/G00031MO	"{""keep"": true, ""suggested_class"": ""1A""}"
O-Glycan core 7	http://rdf.glycoinfo.org/glycan/G00044MO	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group B	http://rdf.glycoinfo.org/glycan/G00067MO	"{""keep"": true, ""suggested_class"": ""1A""}"
P-Antigen	http://rdf.glycoinfo.org/glycan/G00061MO	"{""keep"": true, ""suggested_class"": ""1A""}"
N-Glycan core	http://rdf.glycoinfo.org/glycan/G00026MO	"{""keep"": true, ""suggested_class"": ""1B""}"
Lactosamine	http://rdf.glycoinfo.org/glycan/G00055MO	"{""keep"": true, ""suggested_class"": ""1B""}"
Keratan sulfate	http://rdf.glycoinfo.org/glycan/G00020MO	"{""keep"": true, ""suggested_class"": ""1A""}"
Lewis X	http://rdf.glycoinfo.org/glycan/G00051MO	"{""keep"": true, ""suggested_class"": ""1A""}"
LeX	http://rdf.glycoinfo.org/glycan/G00051MO	"{""keep"": true, ""suggested_class"": ""1A""}"
O-Glycan core 6	http://rdf.glycoinfo.org/glycan/G00041MO	"{""keep"": true, ""suggested_class"": ""1A""}"
Glycosphingolipid Lacto	http://rdf.glycoinfo.org/glycan/G00069MO	"{""keep"": true, ""suggested_class"": ""3A""}"
O-Glycan core 2	http://rdf.glycoinfo.org/glycan/G00034MO	"{""keep"": true, ""suggested_class"": ""1A""}"
VIM	http://rdf.glycoinfo.org/glycan/G00065MO	"{""keep"": true, ""suggested_class"": ""1A""}"
Chondroitin sulfate	http://rdf.glycoinfo.org/glycan/G00018MO	"{""keep"": true, ""suggested_class"": ""1A""}"
Chondroitin	http://rdf.glycoinfo.org/glycan/G00018MO	"{""keep"": true, ""suggested_class"": ""1A""}"
