#label	id	#tags	bgsl_curator_meta
GlcNAc(b1-3)Gal(b1-4)GlcNAc	https://api.glycosmos.org/wurcs2image/latest/png/binary/G48117BL		"{""keep"": true, ""suggested_class"": ""1A""}"
Globoside	https://api.glycosmos.org/wurcs2image/latest/png/binary/G00061MO		"{""keep"": true, ""suggested_class"": ""1A""}"
Glucomannan	https://api.glycosmos.org/wurcs2image/latest/png/binary/G88924MD		"{""keep"": true, ""suggested_class"": ""1C""}"
Glucronoarabinoxylan	https://api.glycosmos.org/wurcs2image/latest/png/binary/G54315VV		"{""keep"": true, ""suggested_class"": ""1C""}"
Glucronoxylan	https://api.glycosmos.org/wurcs2image/latest/png/binary/G94091AV		"{""keep"": true, ""suggested_class"": ""1C""}"
HNK-1	https://api.glycosmos.org/wurcs2image/latest/png/binary/G54406UD		"{""keep"": true, ""suggested_class"": ""1A""}"
Homogalacturonan	https://api.glycosmos.org/wurcs2image/latest/png/binary/G25318VQ		"{""keep"": true, ""suggested_class"": ""1C""}"
KDN-Gal	https://api.glycosmos.org/wurcs2image/latest/png/binary/G82612XX		"{""keep"": true, ""suggested_class"": ""2A""}"
LDN	https://api.glycosmos.org/wurcs2image/latest/png/binary/G31736BK		"{""keep"": true, ""suggested_class"": ""1B""}"
LDN-F	https://api.glycosmos.org/wurcs2image/latest/png/binary/G02240AO		"{""keep"": true, ""suggested_class"": ""1B""}"
LacNAc	https://api.glycosmos.org/wurcs2image/latest/png/binary/G66213AR		"{""keep"": true, ""suggested_class"": ""1B""}"
LacNAc-Gal	https://api.glycosmos.org/wurcs2image/latest/png/binary/G06580KR		"{""keep"": true, ""suggested_class"": ""1B""}"
Lacto-N-Neotetraose	https://api.glycosmos.org/wurcs2image/latest/png/binary/G48059CD		"{""keep"": true, ""suggested_class"": ""1A""}"
Lacto-N-Tetraose	https://api.glycosmos.org/wurcs2image/latest/png/binary/G45827GY		"{""keep"": true, ""suggested_class"": ""1A""}"
Lactogangliotetraosylceramide	https://api.glycosmos.org/wurcs2image/latest/png/binary/G62554JH		"{""keep"": true, ""suggested_class"": ""1A""}"
Lactosylceramide	https://api.glycosmos.org/wurcs2image/latest/png/binary/G84224TW		"{""keep"": true, ""suggested_class"": ""1A""}"
Lactotetraosylceramide	https://api.glycosmos.org/wurcs2image/latest/png/binary/G00049MO		"{""keep"": true, ""suggested_class"": ""1A""}"
Lc3	https://api.glycosmos.org/wurcs2image/latest/png/binary/G06239NA		"{""keep"": true, ""suggested_class"": ""1A""}"
Lc4	https://api.glycosmos.org/wurcs2image/latest/png/binary/G00049MO		"{""keep"": true, ""suggested_class"": ""1A""}"
M3FX	https://api.glycosmos.org/wurcs2image/latest/png/binary/G47379VH		"{""keep"": true, ""suggested_class"": ""2D""}"
Neu5Ac(a2-3)Gal(b1)	https://api.glycosmos.org/wurcs2image/latest/png/binary/G30207PZ		"{""keep"": true, ""suggested_class"": ""2A""}"
Neu5Ac(a2-3)Gal(b1-3)GalNAc	https://api.glycosmos.org/wurcs2image/latest/png/binary/G56299XO		"{""keep"": true, ""suggested_class"": ""2A""}"
Neu5Ac(a2-3)Gal(b1-4)Glc	https://api.glycosmos.org/wurcs2image/latest/png/binary/G56516VH		"{""keep"": true, ""suggested_class"": ""2A""}"
