id	label	glytoucan_id	aliases	url
GDV.000061	Forssman glycolipid	G80062GG		https://glycomotif.glyomics.org/glycomotif/GDV.000061
GDV.000062	Tn antigen	G57321FI		https://glycomotif.glyomics.org/glycomotif/GDV.000062
GDV.000063	Cytolipin R	G57710SU		https://glycomotif.glyomics.org/glycomotif/GDV.000063
GDV.000064	Isoglobotetraosylceramide	G57710SU		https://glycomotif.glyomics.org/glycomotif/GDV.000064
GDV.000065	Globoside(P antigen)  (Gb4)	G00061MO		https://glycomotif.glyomics.org/glycomotif/GDV.000065
GDV.000066	para-Forssman glycolipid	G51699SI		https://glycomotif.glyomics.org/glycomotif/GDV.000066
GDV.000067	Fucosylated LDN (LDNF)	G02240AO		https://glycomotif.glyomics.org/glycomotif/GDV.000067
GDV.000068	LcGg4	G62554JH		https://glycomotif.glyomics.org/glycomotif/GDV.000068
GDV.000069	GM2	G79389NT		https://glycomotif.glyomics.org/glycomotif/GDV.000069
GDV.000070	Sialopentaosylceramide	G13224CR		https://glycomotif.glyomics.org/glycomotif/GDV.000070
GDV.000071	GD2	G02657AK		https://glycomotif.glyomics.org/glycomotif/GDV.000071
GDV.000072	GT2	G36476BA		https://glycomotif.glyomics.org/glycomotif/GDV.000072
GDV.000073	N-Glycolyl-GM2	G56478LD		https://glycomotif.glyomics.org/glycomotif/GDV.000073
GDV.000074	LacdiNAc (LDN)	G31736BK		https://glycomotif.glyomics.org/glycomotif/GDV.000074
GDV.000075	Mono-sulfated globopentaosylceramide	G30925QW		https://glycomotif.glyomics.org/glycomotif/GDV.000075
GDV.000076	Sulfo-isogloboside	G30925QW		https://glycomotif.glyomics.org/glycomotif/GDV.000076
GDV.000077	Mono-sulfated globotetraosylceramide	G05297EK		https://glycomotif.glyomics.org/glycomotif/GDV.000077
GDV.000078	4-sulfated LDN	G18464VS		https://glycomotif.glyomics.org/glycomotif/GDV.000078
GDV.000079	HNK-1 on O-mannose	G06898ZN		https://glycomotif.glyomics.org/glycomotif/GDV.000079
GDV.000080	HNK-expressing SGLPG	G10503MP		https://glycomotif.glyomics.org/glycomotif/GDV.000080
GDV.000081	HNK-1 antigen	G53277CD		https://glycomotif.glyomics.org/glycomotif/GDV.000081
GDV.000082	Glucosylceramide	G71142DF		https://glycomotif.glyomics.org/glycomotif/GDV.000082
GDV.000083	Lactotriaosylceramide (LC3)	G06239NA		https://glycomotif.glyomics.org/glycomotif/GDV.000083
GDV.000086	Sda/CT antigen	G41052GC		https://glycomotif.glyomics.org/glycomotif/GDV.000086
GDV.000087	6,6-bisSulfo-Lewis x (6,6'-bissulfo Lewis x )	G00659GQ		https://glycomotif.glyomics.org/glycomotif/GDV.000087
GDV.000088	6-Sulfo-sialyl Lewis x (6-sulfo SLewis x)	G00672PE		https://glycomotif.glyomics.org/glycomotif/GDV.000088
GDV.000089	Sialyl Lewis a glycolipid	G50321QR		https://glycomotif.glyomics.org/glycomotif/GDV.000089
GDV.000090	Sialyl Lewis a (SLea)  (CA19-9 antigen)	G00053MO		https://glycomotif.glyomics.org/glycomotif/GDV.000090
GDV.000091	GQ1ba	G54733XO		https://glycomotif.glyomics.org/glycomotif/GDV.000091
GDV.000092	Di-sialyl T antigen	G01614ZM		https://glycomotif.glyomics.org/glycomotif/GDV.000092
GDV.000093	Disialosyl globopentaosylceramide	G97932OH		https://glycomotif.glyomics.org/glycomotif/GDV.000093
GDV.000094	GT1aa	G02149VR		https://glycomotif.glyomics.org/glycomotif/GDV.000094
GDV.000095	GP1c	G04433GV		https://glycomotif.glyomics.org/glycomotif/GDV.000095
GDV.000096	GD1a	G45714BQ		https://glycomotif.glyomics.org/glycomotif/GDV.000096
GDV.000097	Sialyl T antigen	G65562ZE		https://glycomotif.glyomics.org/glycomotif/GDV.000097
GDV.000098	GL-7 globoseries ganglioside (SSEA-4)	G32254QI		https://glycomotif.glyomics.org/glycomotif/GDV.000098
GDV.000099	GD1a	G46677TE		https://glycomotif.glyomics.org/glycomotif/GDV.000099
GDV.000100	GT1b	G40183QN		https://glycomotif.glyomics.org/glycomotif/GDV.000100
