id	label	glytoucan_id	names	keywords	url	bgsl_curator_meta
GDV.000038	Lewis x   (SSEA-1)	G01187XC			https://glycomotif.glyomics.org/glycomotif/GDV.000038	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""SSEA-1""}"
GDV.000039	Lactosylceramide	G84224TW			https://glycomotif.glyomics.org/glycomotif/GDV.000039	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000040	''I'' antigen	G56045WU			https://glycomotif.glyomics.org/glycomotif/GDV.000040	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""\""I\"" antigen""}"
GDV.000041	Mono-fucosyl LN	G64227KZ			https://glycomotif.glyomics.org/glycomotif/GDV.000041	"{""keep"": true, ""suggested_class"": ""1B""}"
GDV.000042	Mono-fucosyl LN	G65223RT			https://glycomotif.glyomics.org/glycomotif/GDV.000042	"{""keep"": true, ""suggested_class"": ""1B""}"
GDV.000043	Paragloboside	G58896AZ			https://glycomotif.glyomics.org/glycomotif/GDV.000043	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000044	''I'' antigen	G46055MA			https://glycomotif.glyomics.org/glycomotif/GDV.000044	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000045	Type 2 LN2 (''I'' antigen)	G00058MO			https://glycomotif.glyomics.org/glycomotif/GDV.000045	"{""keep"": true, ""suggested_class"": ""1B"", ""preferred_label_override"": ""Type 2 LN2"", ""notes"": ""Has broad synonym ''i'' antigen.""}"
GDV.000046	Type 2 LN (N-acetyllactosamine)	G00055MO			https://glycomotif.glyomics.org/glycomotif/GDV.000046	"{""keep"": true, ""suggested_class"": ""1B"", ""preferred_label_override"": ""Type 2 LN""}"
GDV.000047	3-Sulfo-Lewis a (3'-Sulfo Lewis a)	G78706CK			https://glycomotif.glyomics.org/glycomotif/GDV.000047	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""3-Sulfo-Lewis a"", ""notes"": ""Has exact synonym 3'-Sulfo Lewis a.""}"
GDV.000048	3-Sulfo-Lewis x (3-sulfo LewisX)	G12295TB			https://glycomotif.glyomics.org/glycomotif/GDV.000048	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""3-Sulfo-Lewis x""}"
GDV.000049	Ceramide dihexosyl sulfate	G50926NK			https://glycomotif.glyomics.org/glycomotif/GDV.000049	"{""keep"": true, ""suggested_class"": ""1B""}"
GDV.000050	Seminolipid	G72548RZ			https://glycomotif.glyomics.org/glycomotif/GDV.000050	"{""keep"": true}"
GDV.000051	Sulfatide	G72548RZ			https://glycomotif.glyomics.org/glycomotif/GDV.000051	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000052	Monosulfated gangliotetraosylceramide	G96596OC			https://glycomotif.glyomics.org/glycomotif/GDV.000052	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000053	Galactosylceramide	G65889KE			https://glycomotif.glyomics.org/glycomotif/GDV.000053	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000054	Blood group A (type 1)  (A-Lewis b)	G97501MA			https://glycomotif.glyomics.org/glycomotif/GDV.000054	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000055	Blood group A1 (type 3)	G44060QH			https://glycomotif.glyomics.org/glycomotif/GDV.000055	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000056	A antigen (type 3)	G99315PE			https://glycomotif.glyomics.org/glycomotif/GDV.000056	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000057	Blood group A (type 4)	G37830TX			https://glycomotif.glyomics.org/glycomotif/GDV.000057	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000058	Blood group A (type 1)	G66163TI			https://glycomotif.glyomics.org/glycomotif/GDV.000058	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000059	Blood group A (type 2)  (A-Lewis Y)	G54826OZ			https://glycomotif.glyomics.org/glycomotif/GDV.000059	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Blood group ! - Lewis Y-associated type 2 chain""}"
GDV.000060	Blood group A (type 2)	G74353FF			https://glycomotif.glyomics.org/glycomotif/GDV.000060	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000061	Forssman glycolipid	G80062GG			https://glycomotif.glyomics.org/glycomotif/GDV.000061	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000062	Tn antigen	G57321FI			https://glycomotif.glyomics.org/glycomotif/GDV.000062	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000063	Cytolipin R	G57710SU			https://glycomotif.glyomics.org/glycomotif/GDV.000063	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000064	Isoglobotetraosylceramide	G57710SU			https://glycomotif.glyomics.org/glycomotif/GDV.000064	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000065	Globoside(P antigen)  (Gb4)	G00061MO			https://glycomotif.glyomics.org/glycomotif/GDV.000065	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Globoside"", ""notes"": ""Has related synonym P antigen.""}"
GDV.000066	para-Forssman glycolipid	G51699SI			https://glycomotif.glyomics.org/glycomotif/GDV.000066	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000067	Fucosylated LDN (LDNF)	G02240AO			https://glycomotif.glyomics.org/glycomotif/GDV.000067	"{""keep"": true, ""suggested_class"": ""1B"", ""preferred_label_override"": ""Fucosylated LDN"", ""notes"": ""Has abbreviation LDNF""}"
GDV.000068	LcGg4	G62554JH			https://glycomotif.glyomics.org/glycomotif/GDV.000068	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000069	GM2	G79389NT			https://glycomotif.glyomics.org/glycomotif/GDV.000069	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000070	Sialopentaosylceramide	G13224CR			https://glycomotif.glyomics.org/glycomotif/GDV.000070	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000071	GD2	G02657AK			https://glycomotif.glyomics.org/glycomotif/GDV.000071	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000072	GT2	G36476BA			https://glycomotif.glyomics.org/glycomotif/GDV.000072	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000073	N-Glycolyl-GM2	G56478LD			https://glycomotif.glyomics.org/glycomotif/GDV.000073	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000074	LacdiNAc (LDN)	G31736BK			https://glycomotif.glyomics.org/glycomotif/GDV.000074	"{""keep"": true, ""suggested_class"": ""1B"", ""preferred_label_override"": ""LacdiNAc""}"
GDV.000075	Mono-sulfated globopentaosylceramide	G30925QW			https://glycomotif.glyomics.org/glycomotif/GDV.000075	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000076	Sulfo-isogloboside	G30925QW			https://glycomotif.glyomics.org/glycomotif/GDV.000076	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000077	Mono-sulfated globotetraosylceramide	G05297EK			https://glycomotif.glyomics.org/glycomotif/GDV.000077	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000078	4-sulfated LDN	G18464VS			https://glycomotif.glyomics.org/glycomotif/GDV.000078	"{""keep"": true, ""suggested_class"": ""1B""}"
GDV.000079	HNK-1 on O-mannose	G06898ZN			https://glycomotif.glyomics.org/glycomotif/GDV.000079	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000080	HNK-expressing SGLPG	G10503MP			https://glycomotif.glyomics.org/glycomotif/GDV.000080	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000081	HNK-1 antigen	G53277CD			https://glycomotif.glyomics.org/glycomotif/GDV.000081	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000082	Glucosylceramide	G71142DF			https://glycomotif.glyomics.org/glycomotif/GDV.000082	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Lactotriaosylceramide"", ""notes"": ""Has abbreviation LC3""}"
GDV.000083	Lactotriaosylceramide (LC3)	G06239NA			https://glycomotif.glyomics.org/glycomotif/GDV.000083	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Lactotriaosylceramide"", ""notes"": ""Has abbreviation LC3""}"
GDV.000086	Sda/CT antigen	G41052GC			https://glycomotif.glyomics.org/glycomotif/GDV.000086	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000087	6,6-bisSulfo-Lewis x (6,6'-bissulfo Lewis x )	G00659GQ			https://glycomotif.glyomics.org/glycomotif/GDV.000087	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""6,6'-bissulfo Lewis x"", ""notes"": ""Typo: 6,6'-bissulfo Lewis x""}"
GDV.000088	6-Sulfo-sialyl Lewis x (6-sulfo SLewis x)	G00672PE			https://glycomotif.glyomics.org/glycomotif/GDV.000088	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""6-Sulfo-sialyl Lewis x""}"
GDV.000089	Sialyl Lewis a glycolipid	G50321QR			https://glycomotif.glyomics.org/glycomotif/GDV.000089	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000090	Sialyl Lewis a (SLea)  (CA19-9 antigen)	G00053MO			https://glycomotif.glyomics.org/glycomotif/GDV.000090	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000091	GQ1ba	G54733XO			https://glycomotif.glyomics.org/glycomotif/GDV.000091	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""GQ1b-alpha""}"
GDV.000092	Di-sialyl T antigen	G01614ZM			https://glycomotif.glyomics.org/glycomotif/GDV.000092	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000093	Disialosyl globopentaosylceramide	G97932OH			https://glycomotif.glyomics.org/glycomotif/GDV.000093	"{""keep"": true, ""suggested_class"": ""1A""}"
