Glycan determinant in N- and O-glycans and glycolipids	Trivial name (and reference)a	bgsl_curator_meta
NeuAcα2-3Galβ1-4GlcNAc-R	3-Sialyl-LN (type 2)	"{""keep"": true, ""suggested_class"": ""1B"", ""preferred_label_override"": ""3-Sialyl-LN type 2""}"
Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-R	Blood group H (type 2)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Blood group H - type 2 chain""}"
Galα1-3(Fucα1-2)Galβ1-4GlcNAcβ1-3Galβ1-R	Blood group B (type 2)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Blood group B - type 2 chain""}"
GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ1-R	Blood group A (type 2)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Blood group A - type 2 chain""}"
GalNAcα1-3(Fucα1-2)Galβ1-4(Fucα1-3)GlcNAcβ1-R	Blood group A (type 2) (A-Ley)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Blood group A - Lewis y associated type 2 chain""}"
GalNAcα1-3(Fucα1-2)Galβ1-3GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ1-R	Blood group A1 (type 3)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Blood group A1 - type 3 chain""}"
Fucα1-2Galβ1-3GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ1-R	Blood group A2 (A-associated H type 3)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Blood group A2 - A-associated H type 3 chain""}"
Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-R	Blood group H (type 1)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Blood group H - type 1 chain""}"
Galα1-3(Fucα1-2)Galβ1-3GlcNAcβ1-R	Blood group B (type 1)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Blood group B - type 1 chain""}"
GalNAcα1-3(Fucα1-2)Galβ1-3GlcNAcβ1-R	Blood group A (type 1)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Blood group A - type 1 chain""}"
Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ1-R	Blood group H (type 2) (Ley)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Blood group H - Lewis y-associated type 2 chain""}"
Galα1-3(Fucα1-2)Galβ1-3(Fucα1-4)GlcNAcβ1-R	Blood group B (type 1) (B-Ley)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Blood group B - Lewis y-associated type 1 chain""}"
GalNAcα1-3(Fucα1-2)Galβ1-3(Fucα1-4)GlcNAcβ1-R	Blood group A (type 1) (A-Leb)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Blood group A - Lewis b-associated type 1 chain""}"
Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ1-R	Lewis b (Leb)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Lewis b""}"
Su-4GalNAcβ1-4GlcNAc-R	4'-sulfated LDN	"{""keep"": true, ""suggested_class"": ""1B"", ""notes"": ""Is abbreviation of 4'-sulfated LacdiNAc""}"
NeuAcα2-6GalNAcβ1-4GlcNAc-R	Sialylated LDN	"{""keep"": true, ""suggested_class"": ""1B"", ""notes"": ""Is abbreviation of sialylated LacdiNAc""}"
NeuAcα2-3(GalNAcβ1-4)Galβ1-4GlcNAcβ1-R	Sda/CT antigen	"{""keep"": true, ""suggested_class"": ""1A""}"
NeuAcα2-8(NeuAcα2-8)nNeuAcα2-3Galβ1-4GlcNAcβ1-R	Polysialic acid	"{""keep"": true, ""suggested_class"": ""1B""}"
(NeuAcα2-3Galβ1-4(Fucα1-3)GlcNAcβ1-6)(NeuAcα2-3Galβ1-3)GalNAcα1-Ser/Thr	SLex Core 2 O-glycan glycan	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""SLex on Core 2 O-glycan""}"
P-6-Manα1-2Manα1-3(Manα1-3)(P-6-Manα1-6)Manα1-6Manβ1-4GlcNAcβ-R	Diphosphorylated Man6	"{""keep"": true, ""suggested_class"": ""2C""}"
NeuAcα2-3Galβ1-4GlcNAcβ1-2Manα1-Ser/Thr	O-Linked mannose	"{""keep"": true, ""suggested_class"": ""3A""}"
NeuAcα2-3Galβ1-4GlcNAcβ1-2(NeuAcα2-3Galβ1-4GlcNAcβ1-6)Manα1-Ser/Thr	2,6-Branched O-mannose	"{""keep"": true, ""suggested_class"": ""2C""}"
Galβ1-4(Fucα1-3)GlcNAcβ1-2Manα1-Ser/Thr	O-Mannose Lex	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Lex on O-Mannose""}"
