name	sequence	category	detail_url	bgsl_curator_meta
3,6-(LacNAc)2Tn	Gal b1-4 GlcNAc b1-3 (Gal b1-4 GlcNAc b1-6) GalNAc a	Miscellaneous (TN-related oligosaccharides)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2330	"{""keep"": true, ""suggested_class"": ""1A""}"
3-6-STn	Neu5Ac a2-3 (Neu5Ac a2-6) GalNAc a	Miscellaneous (TN-related oligosaccharides)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2331	"{""keep"": true, ""suggested_class"": ""1A""}"
3-LacNAc-Tn	Gal b1-4 GlcNAc b1-3 GalNAc a	Miscellaneous (TN-related oligosaccharides)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2332	"{""keep"": true, ""suggested_class"": ""1A""}"
6-LacNAc-Tn	Gal b1-4 GlcNAc b1-6 GalNAc a	Miscellaneous (TN-related oligosaccharides)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2333	"{""keep"": true, ""suggested_class"": ""1A""}"
6-LacNAc-Tn	Gal b1-4 GlcNAc b1-6 GalNAc	Miscellaneous (TN-related oligosaccharides)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2767	"{""keep"": true, ""suggested_class"": ""1A""}"
Disialosylpentaose	Neu5Ac a2-3 Gal b1-4 Glc b1-1 (Neu5Ac a2-3) Gal	Miscellaneous (Trehalose-like sugars)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2334	"{""keep"": true, ""suggested_class"": ""2A""}"
Galactosyl-lactose	Gal b1-4 Glc b1-1 b Gal	Miscellaneous (Trehalose-like sugars)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2335	"{""keep"": true, ""suggested_class"": ""3C""}"
(Man)2-GlcNAc	Man a1-3 (Man a1-4) GlcNAc b	N-linked oligos	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2336	"{""keep"": true, ""suggested_class"": ""2D""}"
(Man)3 chitobiose	Man a1-3 (Man a1-6) Man b1-4 GlcNAc b1-4 GlcNAc b	N-linked oligos	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2337	"{""keep"": true, ""suggested_class"": ""2D"", ""preferred_label_override"": ""(Man)3"", ""notes"": ""Has related synonym chitobiose.""}"
(Man)3a	Man a1-3 (Man a1-6) Man a	N-linked oligos	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2338	"{""keep"": true, ""suggested_class"": ""2D""}"
(Man)3b	Man a1-3 (Man a1-6) Man b	N-linked oligos	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2339	"{""keep"": true, ""suggested_class"": ""2D""}"
(Man)4	Man b1-2 Man a1-2 Man b1-3 Man b	N-linked oligos	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2340	"{""keep"": true, ""suggested_class"": ""2D""}"
(Man)4-(Fuc)-GlcNAc	Man a1-2 Man a1-3 (Man a1-6) Man b1-4 (Fuc a1-3) GlcNAc b	N-linked oligos	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2341	"{""keep"": true, ""suggested_class"": ""2D""}"
(Man)5	Man a1-6 (Man a1-3) Man a1-6 (Man a1-3) Man b1-4 GlcNAc b1-4 GlcNAc b	N-linked oligos	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2342	"{""keep"": true, ""suggested_class"": ""2D""}"
(Man)6	Man a1-6 (Man b1-3) Man b1-6 (Man a1-2 Man b1-3) Man a	N-linked oligos	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2344	"{""keep"": true, ""suggested_class"": ""2D""}"
(Man)6 (GlcNAc)2	Man a1-6 (Man a1-3) Man a1-6 (Man a1-2 Man a1-3) Man b1-4 GlcNAc b1-4 GlcNAc b	N-linked oligos	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2345	"{""keep"": true, ""suggested_class"": ""2D""}"
(Man)7	Man a1-2 Man a1-6 (Man a1-3) Man a1-6 (Man a1-2 Man a1-3) Man b1-4 GlcNAc b1-4 GlcNAc b	N-linked oligos	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2346	"{""keep"": true, ""suggested_class"": ""2D""}"
(Man)9-GlcNAc-GlcNAc	Man b1-2 Man a1-6 (Man b1-2 Man b1-3) Man b1-6 (Man a1-2 Man a1-2 Man b1-3) Man b1-4 GlcNAc b1-4 GlcNAc b	N-linked oligos	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2347	"{""keep"": true, ""suggested_class"": ""2D""}"
Gal-GlcNAc-Man-(Gal-GlcNAc-Man)-Man-GlcNAc	Gal b1-4 GlcNAc b1-2 Man a1-3 (Gal b1-4 GlcNAc b1-2 Man a1-6) Man b1-4 GlcNAc b	N-linked oligos	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2348	"{""keep"": true, ""suggested_class"": ""2A""}"
Man-3 chitobiose core Fuc	Man a1-6 (Man a1-3) Man b1-4 GlcNAc b1-4 (Fuc a1-2) GlcNAc b	N-linked oligos	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2349	"{""keep"": true, ""suggested_class"": ""2C""}"
Mono-sialylated N-glycan from porcine fibrinogen	Neu5Ac a2-6 Gal b1-4 GlcNAc b1-2 Man a1-3 (Gal b1-4 GlcNAc b1-2 Man a1-6) Man b1-4 GlcNAc b1-4 (Fuc a1-6) GlcNAc b	N-linked oligos	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2350	"{""keep"": true, ""suggested_class"": ""3C""}"
N-glycan mixture from horseradish peroxidase	Man a1-3 (Xyl b1-2) (Man a1-6) Man b1-4 GlcNAc b1-4 GlcNAc b	N-linked oligos	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2351	"{""keep"": true, ""suggested_class"": ""3C""}"
N-Man5 GlcNAc 1-4	Man a1-6 (Man a1-3) Man a1-6 (GlcNAc b1-4) (GlcNAc b1-2 Man a1-3) Man b1-4 GlcNAc b1-4 GlcNAc b	N-linked oligos	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2352	"{""keep"": true, ""suggested_class"": ""2D""}"
tri-sialylated N-glycan from porcine fibrinogen	Neu5Ac a2-8 Neu5Ac a2-(3,6) Gal b1-4 GlcNAc b1-2 Man a1-3 (Neu5Ac a2-6 Gal b1-4 GlcNAc b1-2 Man a1-6) Man b1-4 GlcNAc b1-4 (Fuc a1-6) GlcNAc b	N-linked oligos	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2353	"{""keep"": true, ""suggested_class"": ""3C""}"
Man a1-2 Man a1-6 Man a1-6 (Man a1-2 Man a1-3) Man b1-4 GlcNAc b1-4 GlcNAc b	Man a1-2 Man a1-6 Man a1-6 (Man a1-2 Man a1-3) Man b1-4 GlcNAc b1-4 GlcNAc b	N-linked oligos	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2776	"{""keep"": true, ""suggested_class"": ""2A""}"
(Man)7	Man a1-2 Man a1-6 (Man a1-3) Man a1-6 (Man a1-2 Man a1-3) Man b1-4 GlcNAc b1-4 GlcNAc b	N-linked oligos	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2777	"{""keep"": true, ""suggested_class"": ""2D""}"
(Man)2-GlcNAc	Man a1-3 (Man a1-4) GlcNAc b	N-linked oligos	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2778	"{""keep"": true, ""suggested_class"": ""2D""}"
Man a1-3 (Man a1-6) Man	Man a1-3 (Man a1-6) Man a	N-linked oligos	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2779	"{""keep"": true, ""suggested_class"": ""2A""}"
Man a1-3 (Man a1-6) Man	Man a 1-3 (Man a 1-6) Man a	N-linked oligos	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2780	"{""keep"": true, ""suggested_class"": ""2A""}"
N-glycan mixture from horseradish peroxidase	Man a1-3 (Xyl b1-2) (Man a1-6) Man b1-4 GlcNAc b1-4 GlcNAc	N-linked oligos	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2781	"{""keep"": true, ""suggested_class"": ""3C""}"
Man-3 chitobiose core Fuc	Man a1-6 (Man a1-3) Man b1-4 GlcNAc b1-4 (Fuc a1-3) GlcNAc b	N-linked oligos	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2782	"{""keep"": true, ""suggested_class"": ""2C""}"
Gal-GlcNAc-Man-(Gal-GlcNAc-Man)-Man-GlcNAc	Gal b1-4 GlcNAc b1-2 Man a1-3 (Gal b1-4 GlcNAc b1-2 Man a1-6) Man b1-4 GlcNAc b	N-linked oligos	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2794	"{""keep"": true, ""suggested_class"": ""2A""}"
As Fibrinogen	Gal b1-4 GlcNAc b1-4 Man a1-3 (Gal b1-4 GlcNAc b1-4 Man a1-6) Man a1-4 GlcNAc b1-4 GlcNAc b	N-linked oligos	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2795	"{""keep"": true, ""suggested_class"": ""3C""}"
asialo-, agalacto-N-glycan from porcine fibrinogen	GlcNAc b1-2 Man a1-3 (GlcNAc b1-2 Man a1-6) Man b1-4 GlcNAc b1-4 (Fuc a1-6) GlcNAc b	N-linked oligos	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2798	"{""keep"": true, ""suggested_class"": ""3C""}"
N-Man5 GlcNAc 1-4	Man a1-6 (Man a1-3) Man a1-6 (GlcNAc b1-4) (GlcNAc b1-2 Man a1-3) Man b1-4 GlcNAc b1-4 GlcNAc b	N-linked oligos	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2799	"{""keep"": true, ""suggested_class"": ""2D""}"
Sialylated triose type 1	Neu5Ac a2-3 Gal b1-3 GlcNAc b	Sialylated oligosaccharide (Type 1)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2354	"{""keep"": true, ""suggested_class"": ""1B""}"
Neu5Ac-Gal-(Neu5Ac)-deoxy-GalNAc	Neu5Ac a2-3 Gal b1-3 (Neu5Ac a2-6) deoxy GalNAc	Sialylated oligosaccharide (Type 1)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2359	"{""keep"": true, ""suggested_class"": ""2A""}"
Sia2TF	Neu5Ac a2-3 Gal b1-3 (Neu5Ac a2-6) GalNAc a	Sialylated oligosaccharide (Type 1)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2360	"{""keep"": true, ""suggested_class"": ""1A""}"
Sialylated tetraose type 1	Neu5Ac a2-3 Gal b1-3 GlcNAc b1-3 Gal	Sialylated oligosaccharide (Type 1)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2361	"{""keep"": true, ""suggested_class"": ""1B""}"
Disialylated tetraose type 1	Neu5Ac a2-8 Neu5Ac a2-3 Gal b1-3 GlcNAc	Sialylated oligosaccharide (Type 1)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2362	"{""keep"": true, ""suggested_class"": ""1B""}"
Disialylated pentaose type 1	Neu5Ac a2-8 Neu5Ac a2-3 Gal b1-3 GlcNAc b1-3 Gal	Sialylated oligosaccharide (Type 1)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2363	"{""keep"": true, ""suggested_class"": ""1B""}"
Trisialylated pentaose type 1	Neu5Ac a2-8 Neu5Ac a2-8 Neu5Ac a2-3 Gal b1-3 GlcNAc	Sialylated oligosaccharide (Type 1)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2364	"{""keep"": true, ""suggested_class"": ""1B""}"
Sialylated tetraose type 1	Neu5Ac a2-3 Gal b1-3 GlcNAc b1-3 Gal	Sialylated oligosaccharide (Type 1)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2785	"{""keep"": true, ""suggested_class"": ""1B""}"
Sialylated tetraose type	Neu5Ac a2-3 Gal b1-3 GlcNAc b1-3 Gal	Sialylated oligosaccharide (Type 1)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2800	"{""keep"": true, ""suggested_class"": ""1B""}"
LS-tetrasaccharide a (LSTa)	Neu5Ac a2-3 Gal b1-3 GlcNAc b1-3 Gal b1-4 Glc b	Sialylated oligosaccharide (Type 1)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2801	"{""keep"": true, ""suggested_class"": ""1B"", ""preferred_label_override"": ""LS-tetrasaccharide a""}"
Disialylated tetraose type 1	Neu5Ac a2-8 Neu5Ac a2-3 Gal b1-3 GlcNAc	Sialylated oligosaccharide (Type 1)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2805	"{""keep"": true, ""suggested_class"": ""1B""}"
LS-hexasaccharide d (3'-SiaLN-LN-LN)	Neu5Ac a2-3 Gal b1-4 GlcNAc b1-3 Gal b1-4 GlcNAc b1-3 Gal b1-4 GlcNAc b	Sialylated oligosaccharide (Type 2)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2365	"{""keep"": true, ""suggested_class"": ""1B"", ""preferred_label_override"": ""LS-hexasaccharide d""}"
LS-tetrasaccharide d (3'-SiaLN-LN-LN)	Neu5Ac a2-3 Gal b1-4 GlcNAc b1-3 Gal b1-4 Glc	Sialylated oligosaccharide (Type 2)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2366	"{""keep"": true, ""suggested_class"": ""1B"", ""preferred_label_override"": ""LS-tetrasaccharide d""}"
6'-Sia-6-su-LacNAc	Neu5Ac a2-6 Gal [6S] b1-4 GlcNAc	Sialylated oligosaccharide (Type 2)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2368	"{""keep"": true, ""suggested_class"": ""1B""}"
Neu5Ac-Gal-(Fuc)-GlcNAc	Neu5Ac a2-3 Gal b1-4 (Fuc a1-3) GlcNAc b	Sialylated oligosaccharide (Type 2)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2372	"{""keep"": true, ""suggested_class"": ""2A""}"
3-Sialyl-LN type 2 [Sialylated triose type 2, 3'-SLN]	Neu5Ac a2-3 Gal b1-4 GlcNAc b	Sialylated oligosaccharide (Type 2)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2373	"{""keep"": true, ""suggested_class"": ""1B"", ""preferred_label_override"": ""3-Sialyl-LN type 2""}"
Sialylated tetraose type 2	Neu5Ac a2-3 Gal b1-4 GlcNAc b1-3 Gal	Sialylated oligosaccharide (Type 2)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2374	"{""keep"": true, ""suggested_class"": ""1B""}"
Disialylated tetraose type 2	Neu5Ac a2-8 Neu5Ac a2-3 Gal b1-4 GlcNAc	Sialylated oligosaccharide (Type 2)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2375	"{""keep"": true, ""suggested_class"": ""1B""}"
Trisialylated pentaose type 2	Neu5Ac a2-8 Neu5Ac a2-8 Neu5Ac a2-3 Gal b1-4 GlcNAc	Sialylated oligosaccharide (Type 2)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2376	"{""keep"": true, ""suggested_class"": ""1B""}"
3-Sialyl-LN type 2 [Sialylated triose type 2, 3'-SLN]	Neu5Ac a2-3 Gal b1-4 GlcNAc	Sialylated oligosaccharide (Type 2)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2786	"{""keep"": true, ""suggested_class"": ""1B"", ""preferred_label_override"": ""3-Sialyl-LN type 2""}"
LS tetrasaccharide b	Gal b1-3 (Neu5Ac a2-6) GlcNAc b1-3 Gal b1-4 Glc b	Sialylated oligosaccharide (Type 2)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2791	"{""keep"": true, ""suggested_class"": ""1B""}"
Neu5Ac a2-6 Gal b1-4 GlcNAc b1-4 Gal b1-4 GlcNAc	Neu5Ac a2-6 Gal b1-4 GlcNAc b1-4 Gal b1-4 GlcNAc	Sialylated oligosaccharide (Type 2)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2803	"{""keep"": true, ""suggested_class"": ""2A""}"
Disialylated tetraose type 2	Neu5Ac a2-8 Neu5Ac a2-3 Gal b1-4 GlcNAc	Sialylated oligosaccharide (Type 2)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2806	"{""keep"": true, ""suggested_class"": ""1B""}"
Trisialylated pentaose Type 2	Neu5Ac a2-8 Neu5Ac a2-3 Gal b1-4 GlcNAc	Sialylated oligosaccharide (Type 2)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2807	"{""keep"": true, ""suggested_class"": ""1B""}"
Trisialylated pentaose type 2	Neu5Ac a2-8 Neu5Ac a2-8 Neu5Ac a2-3 Gal b1-4 GlcNAc	Sialylated oligosaccharide (Type 2)	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2808	"{""keep"": true, ""suggested_class"": ""1B""}"
