ligand_id	url	label	glycoconjugate_type	aglycon	ligand_types	ligand_synonyms	glycan_references:glytoucan	glycan_references:glyconnect	bgsl_curator_meta
SB0111	https://sugarbind.expasy.org/ligands/111	I-Active ganglioside (NeuAc-G-10, NeuAca2-3I)	Glycosphingolipid	Ceramide	Sialylated	NeuAc-G-10	G28566CQ		"{""keep"": true, ""suggested_class"": ""2A""}"
SB0112	https://sugarbind.expasy.org/ligands/112	Lewis b (Leb-6)	Glycosphingolipid	Ceramide	Fucosylated | Lewis blood group		G09552LA		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0113	https://sugarbind.expasy.org/ligands/113	Sialyl Lewis a (NeuAca3-Lea)	Glycosphingolipid	Ceramide	Sialylated | Fucosylated | Lewis blood group		G50321QR		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0114	https://sugarbind.expasy.org/ligands/114	Fuc-gangliotetraosylceramide (H-5-ganglio, Fuc-GgO4)	Glycosphingolipid	Ceramide	Fucosylated	H-5-ganglio	G57920AK		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0115	https://sugarbind.expasy.org/ligands/115	3'-sialyl-N-acetyllactosamine (3'SLN, 3'SiaLacNAc(1-4))			Sialylated	3'SiaLacNAc(1-4)	G10203DW	2804	"{""keep"": true, ""suggested_class"": ""2A""}"
SB0118	https://sugarbind.expasy.org/ligands/118	Sulfatide	Glycosphingolipid	Ceramide	Sulfated		G07169WN		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0119	https://sugarbind.expasy.org/ligands/119	Sulf-gangliotetraosyl ceramide	Glycosphingolipid	Ceramide	Sulfated		G96614JE		"{""keep"": true}"
SB0121	https://sugarbind.expasy.org/ligands/121	SSEA-4 (Stage specific embryonic antigen-4)			Sialylated	Stage specific embryonic antigen-4	G32254QI		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0122	https://sugarbind.expasy.org/ligands/122	Sialyllactotetraosylceramide	Glycosphingolipid	Ceramide	Sialylated		G72692DY		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0123	https://sugarbind.expasy.org/ligands/123	Sialylparagloboside (NeuAca2-6PG, IV6(NeuAc)nLc4Cer)	Glycosphingolipid	Ceramide	Sialylated	IV6(NeuAc)nLc4Cer	G83513YI		"{""keep"": true, ""suggested_class"": ""2A""}"
SB0124	https://sugarbind.expasy.org/ligands/124	LSTa			Sialylated		G21066IE	3001	"{""keep"": true}"
SB0125	https://sugarbind.expasy.org/ligands/125	LSTc			Sialylated		G21938SG		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0127	https://sugarbind.expasy.org/ligands/127	Sialyl Lewis c (SLec, SaiLec)			Sialylated | Glycotope | Lewis blood group	SaiLec	G46776WR		"{""keep"": true}"
SB0128	https://sugarbind.expasy.org/ligands/128	6-sulfo sialyl Lewis x (Su-SaiLex, Su-SLex)			Sialylated | Sulfated | Fucosylated | Glycotope | Lewis blood group	Su-SaiLex	G80722US		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0129	https://sugarbind.expasy.org/ligands/129	Sialyl Lewis x (SLex, SaiLex)			Sialylated | Fucosylated | Glycotope | Lewis blood group	SaiLex	G00054MO		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0130	https://sugarbind.expasy.org/ligands/130	Sulfated sialyl-3-N-acetyllactosamine (Su-3'SLN, Sulfated trisaccharide)			Sialylated | Sulfated | Glycotope	Sulfated trisaccharide	G99745QX		"{""keep"": true}"
SB0131	https://sugarbind.expasy.org/ligands/131	3'-sialyl-N-acetyllactosamine (3'SLN)			Sialylated		G00065MO	2804	"{""keep"": true}"
SB0132	https://sugarbind.expasy.org/ligands/132	6'-sialyl-N-acetyllactosamine (6'SLN, 6'SiaLacNAc(1-4))			Sialylated	6'SiaLacNAc(1-4)	G09376MR	2911	"{""keep"": true, ""suggested_class"": ""2A""}"
SB0133	https://sugarbind.expasy.org/ligands/133	Sialyllactotetraosylceramide	Glycosphingolipid	Ceramide	Sialylated		G79536OW		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0134	https://sugarbind.expasy.org/ligands/134	6-sulfo sialyl Lewis c (Su-SaiLec, Su-SLec)			Sialylated | Sulfated | Glycotope | Lewis blood group	Su-SaiLec	G93779QZ		"{""keep"": true}"
SB0135	https://sugarbind.expasy.org/ligands/135	I-active ganglioside	Glycosphingolipid	Ceramide	Sialylated		G16194TN		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0137	https://sugarbind.expasy.org/ligands/137	Globotetraosylceramide					G04616ST	570	"{""keep"": true, ""suggested_class"": ""1A""}"
SB0138	https://sugarbind.expasy.org/ligands/138	A-galactosylparagloboside (A-Galactosylparagloboside)	Glycosphingolipid	Ceramide			G60645OK		"{""keep"": true}"
SB0139	https://sugarbind.expasy.org/ligands/139	Sulfatide	Glycosphingolipid	Ceramide	Sulfated		G72548RZ		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0140	https://sugarbind.expasy.org/ligands/140	Seminolipid	Glyceroglycolipid	Alkylacylglycerol	Sulfated		G72548RZ		"{""keep"": true}"
SB0141	https://sugarbind.expasy.org/ligands/141	Lactosylsulfatide	Glycosphingolipid	Ceramide	Sulfated		G20044TD		"{""keep"": true}"
SB0142	https://sugarbind.expasy.org/ligands/142	Sulfatide	Glycosphingolipid	Ceramide	Sulfated		G60011XD		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0143	https://sugarbind.expasy.org/ligands/143	Lactosylceramide (LacCer)	Glycosphingolipid	Ceramide			G20420WT		"{""keep"": true, ""suggested_class"": ""1A""}"
