ligand_id	url	label	glycoconjugate_type	aglycon	ligand_types	ligand_synonyms	glycan_references:glytoucan	glycan_references:glyconnect	bgsl_curator_meta
SB0056	https://sugarbind.expasy.org/ligands/56	Lewis a (Lea-5)	Glycosphingolipid	Ceramide	Fucosylated | Lewis blood group		G26123AX		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0058	https://sugarbind.expasy.org/ligands/58	Gangliotetraosylceramide (Gg4)	Glycosphingolipid	Ceramide			G05357CB		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0059	https://sugarbind.expasy.org/ligands/59	Disialosyl galactosyl globoside (DSGG)	Glycosphingolipid	Ceramide	Sialylated		G97932OH		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0060	https://sugarbind.expasy.org/ligands/60	Sialosyl galactosyl globoside (Sialosyl gal-globoside, SGG)	Glycosphingolipid	Ceramide	Sialylated	Sialosyl gal-globoside	G32254QI		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0061	https://sugarbind.expasy.org/ligands/61	N-acetylglucosamine (GlcNAc)	Glycoprotein	Protein	Glycotope		G64581RP	3168	"{""keep"": true, ""suggested_class"": ""3B""}"
SB0063	https://sugarbind.expasy.org/ligands/63	Globo-H	Glycosphingolipid	Ceramide	Fucosylated		G98465JN		"{""keep"": true}"
SB0064	https://sugarbind.expasy.org/ligands/64	Globo-A	Glycosphingolipid	Ceramide	Fucosylated | ABH blood group		G37830TX		"{""keep"": true}"
SB0065	https://sugarbind.expasy.org/ligands/65	Forssman	Glycosphingolipid	Ceramide			G72565QB		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0066	https://sugarbind.expasy.org/ligands/66	NeuGc-GM3 (GM3gc)	Glycosphingolipid	Ceramide	Sialylated	GM3gc	G75789AR		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0067	https://sugarbind.expasy.org/ligands/67	Mannose (Man, Alpha-linked mannose)				Alpha-linked mannose	G70323CJ	3570	"{""keep"": true, ""suggested_class"": ""3B""}"
