id	label	bgsl_curator_meta
https://identifiers.org/glyconavi/GN_CAN18	GT1b	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN110	GT2	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN109	GT3	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN35	Gala3-type1	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN71	Gala3Lex	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN234	Galabiose	"{""keep"": true, ""suggested_class"": ""3B""}"
https://identifiers.org/glyconavi/GN_CAN36	Galili-tri	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN237	Gangliotetraose	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN236	Gangliotriose	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN7	Gb4	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN241	Globotetraose	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN240	Globotriose	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN32	H-type1	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN34	H-type2	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN62	H2	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN66	H3	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN242	Isoglobotriose	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN28	LDN	"{""keep"": true, ""suggested_class"": ""1B""}"
https://identifiers.org/glyconavi/GN_CAN31	LN	"{""keep"": true, ""suggested_class"": ""1B""}"
https://identifiers.org/glyconavi/GN_CAN77	LNT	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN45	LNT-2	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN84	LNnT	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN26	Lac	"{""keep"": true, ""suggested_class"": ""3B""}"
https://identifiers.org/glyconavi/GN_CAN27	LacNAc	"{""keep"": true, ""suggested_class"": ""1B""}"
https://identifiers.org/glyconavi/GN_CAN235	Lactose	"{""keep"": true, ""suggested_class"": ""DISCARD""}"
https://identifiers.org/glyconavi/GN_CAN19	Lactosylceramides	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN238	Lactotetraose	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN40	LeA	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN73	LeALex	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN25	Lec	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN75	Lec-LeX	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN42	Lex	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN81	Lex-LeA	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN63	Ley	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN64	Ley -Lex	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN65	Ley-Di-Lex	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN239	Neolactotetraose	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN76	P1 penta	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN72	P1 penta	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN89	P1 tetra	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN39	P1 tri	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN38	Pk	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN93	SSEA-4	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN83	Tri-LN	"{""keep"": true, ""suggested_class"": ""1B""}"
https://identifiers.org/glyconavi/GN_CAN80	Tri-Lex	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN1	asialoGM1	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN2	asialoGM2	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN20	sialyl lactotetraosylceramide	"{""keep"": true, ""suggested_class"": ""1A""}"
