bgsl_id	term	exact_synonyms	abbreviations	broad_synonyms	narrow_synonyms	related_synonyms	classification	gtc_id	gsd_id	glycomotif_id	sources	eog_sentence
GSD:0264d39d-5c78-4d87-91e1-86e294df4b45	2'FL						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GSD:de926fb1-1f54-47eb-bbd3-33d4629eb5ea	2-6 sialyl i-Lewis x						1A	G93855LZ			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
GSD:f58b5b41-951c-418f-81bf-a098d895c9d4	2-6 Sialyl Lewis x						1A	G93855LZ			PUBDICT_GLYCAN_MOTIF	
GSD:0a5b406f-05a2-4f1a-b6fb-abe589e7013d	2-9,2-6 disialyllactosylceramide						1A	G30187JM			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
GSD:39f43575-ae55-4706-9456-72a78938691b	2-fucosyl GD1b						1A	G67383AR; G93694YU	GSD000003	GlycoMotif:GGM.000103; GlycoMotif:GDV.000010; GlycoMotif:CCRC.000103	GSD_GLYGEN_V0; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	
GSD:9206a8e4-f606-4bab-b7e6-5c0a17da023e	2-fucosyl GM1			fucosyl GM1			1A	G56526JU; G91532KA	GSD000004	GlycoMotif:GGM.000101; GlycoMotif:GDV.000009; GlycoMotif:CCRC.000101	GSD_GLYGEN_V0; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	
GSD:78e57684-932d-4b0e-9111-88c999354c7d	3'-KDN-Lewis c	3'-KDNLec					1A				BIOOLIGO; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GSD:50bd5cc3-a7af-4947-8611-3338bce8c73a	3'-SiaDi-LN						1A				BIOOLIGO	
GSD:b0a837cb-af50-48ab-af6e-b7f078dcd176	3'-sialyl-Lewis c	3'-Sialyl-Lewis c	3'SLec				1A				BIOOLIGO; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GSD:969a1348-7a24-4a66-866b-c87caba8a9e8	3'-sulfo Lewis a	3'-Sulfo-Lea; 3'-sulpho-Le(a); 3-O-sulfo-Le(A); 3'-Sulfo Le^a; 3'-Sulfo Lea; 3'-Sulfo Lewis a; 3'-sulpho Lewis A	SuLe(a); 3'-Sulfo Lea; 3'-Sulfo Le^a				1A	G78706CK; G36845IZ; G14395NH	GSD000006	GlycoMotif:GGM.000030; GlycoMotif:GDV.000047; GlycoMotif:CCRC.000030	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; BIOOLIGO	
GSD:8f470fe6-edc7-4605-a4ee-d22439fb8c44	3'-sulfo Lewis X	3'-sulfo-Le(x); 3'-sulfo Le^x; 3'-sulfo Lex; 3'-su-Lewis x; 3-Sulfo-Lewis x	3'-su-Le^x				1A	G12295TB; G26555CS; G51907PX	GSD000007	GlycoMotif:GGM.000029; GlycoMotif:GDV.000048; GlycoMotif:CCRC.000029	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; BIOOLIGO; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
GSD:0db7db50-a956-474b-a648-fd6f10e81ebf	3'S-Di-LeA						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GSD:8041b096-e548-4cdb-b4b9-6d3cceddc652	3'S-Di-Lec						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GSD:6adfff6e-740c-4402-bf99-c21fa2515600	3'S-Di-Lex						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GSD:9be42e4a-c8f5-4d47-8644-338ca4b490f5	3'SL (Gc)						1A				PUBDICT_GLYCONAVI_NAME	
GSD:d7b7c6c6-1de9-426d-b3bb-cd21f1ec3cbf	3'SLeA-LeX						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GSD:fe6bdf13-0c87-4318-aa77-4665d91ccd84	3'SLec (Gc)						1A				PUBDICT_GLYCONAVI_NAME	
GSD:0504158e-ed2f-4f68-b591-91cacba2d8c1	3'SLecLN						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GSD:f9f92198-c194-4a66-841e-fa31d65cd03d	3'SLex						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GSD:3356b4df-5915-4242-9743-330bc7717821	3'SLN-Lec						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GSD:fd2d398b-bcb6-4b87-a633-070ad22d12a4	3,6-(LacNAc)2Tn						1A				BIOOLIGO	
GSD:b87f07e6-1235-487b-9c05-26d1da25fe90	3-6-STn						1A				BIOOLIGO	
GSD:936782ac-285b-4f5d-aef2-c1f18cdeea8a	3-Fucosylated Blood group A tetraose						1A				BIOOLIGO	
GSD:ba18fda6-78b4-4a7a-8b40-177fa0fa324c	3-Fucosylated Blood group B tetraose						1A				BIOOLIGO	
GSD:1a74fb04-5e25-4b9f-8320-827ccdd7b936	3-Fucosyllactose						1A				BIOOLIGO	
GSD:827b6b74-ee96-4475-b655-a8bc960bfc24	3-LacNAc-Tn						1A				BIOOLIGO	
GSD:7e6283db-984a-44f6-904c-6e9b5794c59f	3-Sulfo-Lewis a	3-Sulfo-Lewis a (3'-Sulfo Lewis a)					1A	G78706CK			PUBDICT_GLYCAN_MOTIF	
GSD:5e2afc6f-ad8f-44b7-88ba-8804264bd8c0	4' sulfo Lewis X						1A				BIOOLIGO	
GSD:0d2dd2c6-4887-4c3e-99c5-1c8e91673939	6'-SiaaTF						1A				BIOOLIGO	
GSD:6e033c8a-f202-509b-8b71-6eef358777b2	6'-sulfo-sialyl Lewis x	sialyl-6'-sulfo-Lex; Sialyl-6'-sulfo-Lewis x; 6'-sulfo-SLex; 6'-sulfated sialyl Lewis x-; 6'-Sulfo-sialyl Lewis x; 6'-sulfo SLex; 6-sulfo SLex; 6'-Sulfo Sialyl Lewis x; 6-Sulfo Sialyl Lewis x; 6'-Sulfo-sialyl Lewis x (6'-sulfo SLex)	6-sulfo SLex; 6-sulfo SLe^x; 6'-sulfo-sLe(x); Su-SaiLex; Su-Slex; Su-SLex; 6'-sulfo SLex; 6'-sulfo SLe^x				1A	G80722US; G00672PE; G77659VW; G23322RK; G06378CG; G53231FE	GSD000011	GlycoMotif:GGM.000027; GlycoMotif:GGM.000025; GlycoMotif:GDV.000088; GlycoMotif:GDV.000104; GlycoMotif:CCRC.000025; GlycoMotif:CCRC.000027	EOG_VARKI_4E; GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; SUGARBIND; GLYCOEPITOPE; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
GSD:5874f282-15c4-4cfe-bb22-d22ac18ec0bc	6'SL						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GSD:fc2650ad-6104-49d3-9ccd-5ce5657418e1	6'STF						1A				PUBDICT_GLYCONAVI_NAME	
GSD:d2279ba8-4a28-4434-a642-da84c9fc52ac	6,6'- disulfo sialyl Lewis X						1A	G00659GQ			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
GSD:93783264-bc71-4521-a412-c6b24cbae82c	6,6'-bissulfo-Lewis x	6,6'-bisSulfo-Lewis x (6,6'-bissulfo Lex)); 6,6'-bisSulfo-Lewis x	6,6'-bissulfo Lex; 6,6'-bissulfo Le^x			6,6'-Disulfo Sialyl Lewis x	1A	G00659GQ; G46799JK; G23094GH		GlycoMotif:GGM.000028; GlycoMotif:GDV.000087; GlycoMotif:CCRC.000028	CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	
GSD:1dc6c632-bd63-43c8-a063-56e9450d4969	6,6'-dissulfo sialyl Lewis X	6,6'-bissulfo sialyl Lewis X; 6,6'-disulfo sLex					1A	G00659GQ	GSD000008	GlycoMotif:GGM.000028	GSD_GLYGEN_V0	
GSD:20038fd4-69d6-475d-a0b9-9fc7083a454a	6-LacNAc-TF						1A				BIOOLIGO	
GSD:cd763a64-a6dc-4eab-b937-3e33ae1cd3b3	6-LacNAc-Tn						1A				BIOOLIGO	
GSD:be9bde39-92e3-455d-b92d-cb0ef85b9363	6-Siab-TF						1A				BIOOLIGO	
GSD:0dc479ed-9999-4e5c-aedd-a5574d3761bf	6-su-Gal-SiaLewis x						1A				BIOOLIGO	
GSD:180d4ba7-364b-41d2-9011-ddce41e4c1fa	6-su-GalNAc-SiaLewis x						1A				BIOOLIGO	
GSD:3069194c-d911-4030-8a98-77d45e1eb81d	6-sulfo Lewis x						1A	G89307GT			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
GSD:d9342494-0eb5-4552-a675-396561124755	6-sulfo sialyl Lewis c		Su-SaiLec; Su-SLec				1A	G93779QZ			SUGARBIND; PUBDICT_GLYCAN_MOTIF	
GSD:f1e694a5-7a2e-46b3-9407-ef5d72230d5f	6SLN-Lec						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GSD:62034e28-8d2d-44a0-8798-c5e7ac0ffbe3	9-O-acetyl GD3	9-O-Acetylated GD3; 9-O-Acetyl-GD3; 9-O-Ac-GD3	acGD3			CD60b	1A	G74121RX; G98544DH; G81928IQ	GSD000012	GlycoMotif:GGM.000093; GlycoMotif:CCRC.000093	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
GSD:3d4b96f3-a8d3-4e24-9aaf-d78c8dc0b898	9OAc3'Slec						1A				PUBDICT_GLYCONAVI_NAME	
GSD:0dd4e8e2-283e-4426-8f4b-e509742740ab	A Lewis b		A Leb; A-Leb				1A	G48600JD; G97501MA			SUGARBIND; PUBDICT_GLYCAN_MOTIF	
GSD:4d5eee1d-6267-4465-aac4-54e81a3cfb25	A tetra L						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GSD:ed5c0feb-8239-44cb-902b-d76177a1c358	A tetra type 1						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GSD:e8039e25-c8ee-4ee6-ac5b-9c8bfedc5692	a-Galactose on Core 2						1A				BIOOLIGO	
GSD:f93c2ef9-4472-4b87-a2f1-e8237e32833d	a2-3 Neu5Ac on Core 1						1A				BIOOLIGO	
GSD:4cd2a54e-e648-4edb-a081-1859c0d1e426	acharan sulfate						1A	G25575JK			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
GSD:667030ec-2d62-5573-9fa1-f4482afc0782	alkylacylphosphatidylinositol-anchored glycan						1A				EOG_VARKI_4E	
GSD:82b9cec8-2cf0-4645-84fa-a2f32096f855	alpha-gal antigen	a-Gal antigen; alpha-Gal antigen; α-Gal epitope; alpha-galactosyl epitope; Galalpha1-3Gal epitope	αGal				1A	G24432YB; G00046MO; G27798EJ	GSD000016	GlycoMotif:GGM.000015; GlycoMotif:GDV.000022; GlycoMotif:CCRC.000015	GSD_GLYGEN_V0; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; EOG_VARKI_4E; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCOSMOS	
GSD:4413027a-000c-4d52-b149-7cbdd9eae3f2	alpha-galactosylceramide		alpha-GalCer; α-GalCer				1A		GSD000017		GSD_GLYGEN_V0	
GSD:0a3ac62a-32cc-436d-92d9-761db7a26546	Antigen H				H1 (tri-)		1A	G88393MK			SUGARBIND; PUBDICT_GLYCAN_MOTIF	
GSD:8ce1f4e6-8cbe-5167-8ece-a1cfc850d3a5	asialo-GM1		as-GM1; aGM1; AGM1		Asialo-GM1a; Glycosphingolipid Ganglio series	GA1; Gangliotetraosylceramide; GgO4; Gg4; ganglio-N-tetraosylceramide	1A	G21856LC; G00407UJ	GSD000019	GlycoMotif:GGM.000099; GlycoMotif:GDV.000033; GlycoMotif:CCRC.000099	EOG_VARKI_4E; GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV; GLYCOEPITOPE; PUBDICT_GLYCOSMOS	
GSD:c5e6b584-e1d9-4517-beaf-b443d1575d86	asialo-GM2		aGM2; AGM2		Glycosphingolipid Ganglio series		1A	G90562PB			PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV; PUBDICT_GLYCOSMOS	
GSD:05a9fa0f-72da-4ef3-aa5c-7c3af82e5d6b	asialo-GM3		aGM3; AGM3				1A	G84224TW; G15541SE			PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCOSMOS	
GSD:0d97fc4e-ce56-4a86-b57f-440bf6a5d1bf	B antigen (type 3)						1A	G88313DY		GlycoMotif:GGM.000201	GLYCOMOTIF_GGM	
GSD:a1b6fffe-0c19-4bcf-8328-391beda92526	B Lewis b		B Leb				1A	G60395SO			SUGARBIND; PUBDICT_GLYCAN_MOTIF	
GSD:d036fa70-2ddc-4b0a-ba1d-0c73f125e9e5	B tetra L						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GSD:bd04b28f-e01a-4fed-b552-9603e7b92d4c	B tetra type 1						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GSD:c825910c-ff52-403c-b979-08a09f63b61a	b-galactosylated Core 2						1A				BIOOLIGO	
GSD:97cbf76d-a704-4f31-8d6d-b6e7cd262d1d	B-GD1b						1A	G72557NR; G29966WK		GlycoMotif:GGM.000104; GlycoMotif:GDV.000019; GlycoMotif:CCRC.000104	CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	
GSD:93378260-2740-4c40-8ebb-ee12c93b020b	B-GM1						1A	G11485ID; G46884IT	GSD000021	GlycoMotif:GGM.000102; GlycoMotif:GDV.000018; GlycoMotif:CCRC.000102	GSD_GLYGEN_V0; SUGARBIND; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	
GSD:a80870da-7ba1-4942-96d5-e09546fd4388	B2-tri						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GSD:97b52f8a-cb0a-4e24-9402-cfc16e98b8a0	B7 type 1	B Lewis b(7)					1A	G22689CV			SUGARBIND	
GSD:b91d3bb6-92b2-4960-a3a6-61e3060e5687	blood group A	Blood Group A Like; A antigen; Antigen A; blood group A determinant; A blood group determinant; blood group A trisaccharide; Blood group A antigen triose					1A	G00066MO; G17108EX; G33888AF; G58507AZ; G48600JD; G88356HA; G10902TC; G55958KV; G71832QJ		GlycoMotif:CCRC.000038; GlycoMotif:CCRC.000011	PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; PUBDICT_MOTIF_GTC; SUGARBIND; EOG_VARKI_4E; GSD_GLYGEN_V0; GLYCOEPITOPE; BIOOLIGO	Efforts to generate “universal donor” red blood cells, via enzymatic conversion of blood group A and B antigens to the O state using bacterial enzymes, are underway.
GSD:2808ef9b-a5d3-4c9d-b4b5-6509702fe899	Blood group A (type 1)  (A-Lewis b)	Blood group A (type 1) (A-Leb); Blood group A (type 1) - Lewis b; A type 1 A Lewis b; A type 1 A Leb	A-Leb; A-Le^b				1A	G97501MA; G12068BR		GlycoMotif:GDV.000054; GlycoMotif:GGM.000047	GLYCOMOTIF_GDV; PUBDICT_GLYCAN_MOTIF; GLYCOMOTIF_GGM; SUGARBIND	
GSD:4ffcb257-b223-412f-9323-901bf7f9a02e	Blood group A (type 2) (A-Lewis y)	Blood group A (type 2) (A-Ley); Blood group A (type 2) - Lewis y; Blood group A - Lewis Y-associated type 2 chain; Blood group A (type 2)  (A-Lewis Y)	A-Ley; A-Le^y				1A	G54826OZ		GlycoMotif:GGM.000039; GlycoMotif:GDV.000059	PUBDICT_GLYCAN_MOTIF; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV	
GSD:ab5651c9-e7de-41ef-a6c9-a0ef49e1ec9a	Blood group A antigen hexaose type 1						1A				BIOOLIGO	
GSD:204df6fa-0e2a-4541-a11f-9470033d1368	Blood group A antigen hexaose type 2						1A				BIOOLIGO	
GSD:00a5fc9f-e729-463f-a0a1-26c3bdc57760	Blood group A antigen pentaose type 1						1A				BIOOLIGO	
GSD:f0603740-55d7-4f99-a298-25e63b7981b7	Blood group A antigen pentaose type 2						1A				BIOOLIGO	
GSD:340e2b87-7c2a-481b-ae77-d0265d0f17bc	Blood group A antigen pentaose type 4						1A				BIOOLIGO	
GSD:98ba7955-897d-46fd-869d-f8415c81ba33	Blood group A antigen tetraose type 1						1A				BIOOLIGO	
GSD:74bc8d30-d393-4c05-b633-75d282f3a16d	Blood group A antigen tetraose type 2						1A				BIOOLIGO	
GSD:9a4db0b1-195e-4e92-b3ea-b9d3dd20b0ec	Blood group A antigen tetraose type 5						1A				BIOOLIGO	
GSD:d1bd1752-7ffb-45f2-bdfe-af177bdc000a	Blood group A Lewis B antigen pentaose type1						1A				BIOOLIGO	
GSD:f5753280-5b0f-4ca8-a037-4b93c47c0c34	Blood group A Lewis Y antigen pentaose type2						1A				BIOOLIGO	
GSD:82cda56f-fb8a-4ab1-8f18-f9c6f3af0101	blood group A type 1	A type 1; Blood group A(1); blood group A antigen type 1					1A	G66163TI; G03986GH; G44060QH; G97501MA	GSD000030	GlycoMotif:GGM.000044; GlycoMotif:GDV.000058; GlycoMotif:CCRC.000040	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
GSD:2343d12e-5dbe-4d4f-b34a-375a4b765132	blood group A type 1 (difucosyl)	Blood Group A Type 1 (difucosyl)					1A	G97501MA			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
GSD:472ff3df-4f0f-40ae-94cf-d3e88ad3b8c1	blood group A type 2	A type 2; Blood group A type 2 chain		type 2; Blood group A			1A	G74353FF; G54826OZ	GSD000014	GlycoMotif:GGM.000038; GlycoMotif:GDV.000060	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
GSD:ed96acf9-f6ab-4ca5-9f1e-e55096721865	blood group A type 2 (difucosyl)	Blood Group A Type 2 (difucosyl)					1A	G54826OZ			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
GSD:38207d6d-3937-4f05-9e53-1b9a4a74231a	Blood group A type 2 tetrasaccharide						1A	G17108EX			SUGARBIND	
GSD:207fa7ce-3be1-4238-9f15-898b2619f3eb	blood group A type 3	A type 3 antigen; A antigen type 3		A antigen			1A	G99315PE	GSD000187	GlycoMotif:GGM.000011; GlycoMotif:GDV.000056	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV	
GSD:0885805e-d52a-4a04-9cca-f75c60a82a62	blood group A type 4	A type 4					1A	G37830TX; G17480GI	GSD000028	GlycoMotif:GGM.000088; GlycoMotif:GDV.000057	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
GSD:4bbb81b8-45ca-4cfc-9f42-9bc502ff80ab	Blood group A1 (type 3)	Blood group A1 - type 3 chain		type 3; Blood group A1			1A	G44060QH		GlycoMotif:GGM.000040; GlycoMotif:GDV.000055	GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; PUBDICT_GLYCAN_MOTIF; CUMMINGS	
GSD:83245157-ba0e-4e01-88e7-2cddc874293c	Blood group A2						1A	G19804SF; G62735WZ		GlycoMotif:CCRC.000041	GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	
GSD:8563613e-ab0f-49c2-9e7c-a2403c8503ea	Blood group A2 (A-associated H type 3)	Blood group A2 - A-associated H type 3 chain; A-associated H type 3		Blood group A2			1A	G62735WZ		GlycoMotif:GGM.000041; GlycoMotif:GDV.000005	GLYCOMOTIF_GGM; PUBDICT_GLYCAN_MOTIF; CUMMINGS; GLYCOMOTIF_GDV	
GSD:33c41ef4-5d0d-489b-a130-63c7f9b47626	Blood group B	B antigen; blood group B determinant; B blood group determinant; Blood group B antigen triose					1A	G41865GQ; G26934CO; G60395SO; G65112QB; G00067MO; G58612ZQ		GlycoMotif:CCRC.000037	GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_MOTIF_GTC; SUGARBIND; EOG_VARKI_4E; BIOOLIGO	Similarly, blood group B individuals show circulating IgM anti-A isoagglutinins, but they do not make isoagglutinins against the blood group B determinant, a “self” antigen.
GSD:d0c92ce6-f115-44d7-8387-7c01c92c4e12	Blood group B (type 1) (B-Lewis y)	Blood group B - Lewis Y-associated type 1 chain; Blood group B (type 1)  (B-Lewis Y); Blood group B (type 1) (B-Ley)	B-Ley				1A	G89208KM		GlycoMotif:GDV.000016	PUBDICT_GLYCAN_MOTIF; GLYCOMOTIF_GDV	
GSD:a1bfa3b9-241c-4f5d-8078-667444a5ca13	Blood group B (type 1) - Lewis b	B type 1 B Lewis b; B type 1 B Leb	B-Leb; B-Le^b				1A	G89208KM; G94938PL		GlycoMotif:GGM.000046	GLYCOMOTIF_GGM; SUGARBIND; PUBDICT_GLYCAN_MOTIF	
GSD:1a6a9019-47b8-4344-93e1-49963d0fd217	Blood group B - type 2 chain			type 2; Blood group B			1A				CUMMINGS	
GSD:30a8da01-c6bc-4a2a-b9e5-9e9bb5b14f53	Blood group B - type 4 chain	Blood group B (type 4)					1A	G25216QA		GlycoMotif:GDV.000017	GLYCOMOTIF_GDV	
GSD:8b10472c-5ae1-4dd9-82b5-42474e3d7006	Blood group B antigen hexaose type 1						1A				BIOOLIGO	
GSD:49f91d95-20ac-4564-8f7b-67d2f9d26f5c	Blood group B antigen hexaose type 2						1A				BIOOLIGO	
GSD:56423b81-a3a9-4671-b3c9-d7594f838e46	Blood group B antigen pentaose type 1						1A				BIOOLIGO	
GSD:699f461e-f38f-4347-aa37-eacf41a0f7e6	Blood group B antigen pentaose type 2						1A				BIOOLIGO	
GSD:b69d56ae-bd20-4c66-a177-b976e7259123	Blood group B antigen pentaose type 4						1A				BIOOLIGO	
GSD:4c0b9c20-c99a-4e0c-9bc3-1617be290517	Blood group B antigen tetraose type 1						1A				BIOOLIGO	
GSD:801c9f6d-85f1-4e6c-955e-52ad0aeabbdd	Blood group B antigen tetraose type 2						1A				BIOOLIGO	
GSD:9681bd86-61d6-4e1f-ab5e-9378a22a71a4	Blood group B antigen tetraose type 5						1A				BIOOLIGO	
GSD:667ae06c-682f-4c96-bef2-6b89758f3e38	Blood group B Lewis Y antigen pentaose type1						1A				BIOOLIGO	
GSD:289eb971-7325-4729-aef5-13b36e8c4809	Blood group B Lewis Y antigen pentaose type2						1A				BIOOLIGO	
GSD:2cfbb66d-c3bb-4bb7-b9b5-ba9fe800f805	blood group B type 1	B type 1			blood group B type 1 tetrasaccharide		1A	G31734OS; G89208KM	GSD000033	GlycoMotif:GGM.000043; GlycoMotif:GDV.000020	GSD_GLYGEN_V0; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; PUBDICT_GLYCAN_MOTIF	
GSD:0de8e83d-136a-4a18-b54b-03bed4dc0ea0	blood group B type 2	B type 2					1A	G34881WK; G94956AW	GSD000034	GlycoMotif:GGM.000037; GlycoMotif:GDV.000021	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
GSD:9867f64d-2c40-4a2c-b1ed-7b567a831081	blood group B type 4	B type 4					1A	G25216QA	GSD000035	GlycoMotif:GGM.000087	GSD_GLYGEN_V0; GLYCOMOTIF_GGM; PUBDICT_GLYCAN_MOTIF	
GSD:89c74519-5663-41d2-ba94-b83ac774c644	blood group H	blood group H determinant; H blood group determinant; blood group H disaccharide; H antigen; Blood Group H Like					1A	G00068MO; G43391VM; G50899UD; G49963IQ; G46868TY; G82749ZI		GlycoMotif:CCRC.000036; GlycoMotif:CCRC.000010	PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; PUBDICT_MOTIF_GTC; EOG_VARKI_4E; GLYCOEPITOPE	
GSD:d333d75f-dede-412f-946c-3dc7e8a8060c	Blood group H (type 1) (Lewis b)	H type 1 Leb; H type 1 Lewis b					1A	G14300ZJ			SUGARBIND; PUBDICT_GLYCAN_MOTIF	
GSD:dd235a3e-9078-4a96-a0b6-9e84f353451f	Blood group H (type 2) (Lewis y)	Blood group H - Lewis Y-associated type 2 chain; Blood group H (type 2)  (Lewis Y); Blood group H (type 2) - Lewis y	H-Ley; H-Le^y				1A	G00052MO		GlycoMotif:GGM.000045; GlycoMotif:GDV.000012	GLYCOMOTIF_GGM; GLYCOMOTIF_GDV	
GSD:47976965-5801-46c6-a231-c3df947bd023	Blood group H antigen pentaose type 2						1A				BIOOLIGO	
