bgsl_id	term	exact_synonyms	abbreviations	broad_synonyms	narrow_synonyms	related_synonyms	classification	gtc_id	gsd_id	glycomotif_id	sources	eog_sentence
GSD:07c8860f-19e2-46ef-adc2-0af72c54fc94	Glycosphingolipid Globo series	Glycosphingolipid Globo; globo-series glycospingolipids					3A	G99312NX; G00072MO		GlycoMotif:GGM.001109	GLYCOMOTIF_GGM; PUBDICT_GLYCAN_MOTIF; PUBDICT_MOTIF_GTC; EOG_VARKI_4E	
GSD:b30012e8-9390-459f-b894-b0c85043892b	Glycosphingolipid Isoglobo series	Glycosphingolipid Isoglobo					3A	G00012MO		GlycoMotif:GGM.001101	GLYCOMOTIF_GGM; PUBDICT_GLYCAN_MOTIF; PUBDICT_MOTIF_GTC	
GSD:ed8a7cbb-b3c1-40fc-8240-0768284cd0c0	Glycosphingolipid Lacto series	Glycosphingolipid Lacto; lacto-series glycosphingolipids					3A	G00069MO		GlycoMotif:GGM.001106	GLYCOMOTIF_GGM; PUBDICT_GLYCAN_MOTIF; PUBDICT_MOTIF_GTC; EOG_VARKI_4E	
GSD:e37144bb-3fe1-415d-8d0c-4fe8b50cab95	Glycosphingolipid Mollu series	Glycosphingolipid Mollu					3A	G00015MO		GlycoMotif:GGM.001104	GLYCOMOTIF_GGM; PUBDICT_GLYCAN_MOTIF; PUBDICT_MOTIF_GTC	
GSD:913be1dc-f5b1-452b-9690-07015124a6a6	Glycosphingolipid Muco series	Glycosphingolipid Muco					3A	G00013MO		GlycoMotif:GGM.001102	GLYCOMOTIF_GGM; PUBDICT_GLYCAN_MOTIF; PUBDICT_MOTIF_GTC	
GSD:33337b59-fc7c-4716-b832-99e5af01baaf	Glycosphingolipid Neo-lacto series	neolacto-series glycosphingolipids; Glycosphingolipid Neo-lacto					3A	G00070MO		GlycoMotif:GGM.001107	GLYCOMOTIF_GGM; PUBDICT_GLYCAN_MOTIF; EOG_VARKI_4E; PUBDICT_MOTIF_GTC	
GSD:aaadcfba-0977-5dd9-965d-40aa49d81920	glycosphingolipids		GSLs				3A				EOG_VARKI_4E	Nearly all glycolipids in vertebrates are GSLs, which, in turn, are part of the larger family of sphingolipids (lipids built on sphingoid bases) that includes the major membrane phospholipid, sphingomyelin, and the second messenger sphingosine 1-phosphate that regulates angiogenesis and immune cell trafficking.
GSD:2039886e-7957-5b3b-bceb-1f3c3e3c1252	glycosyldiacylglycerolipid	glycosyldiacylglycerolipids					3A				EOG_VARKI_4E	
GSD:2ac04667-bdc8-4d44-915d-8935d0ca5437	Hexaosylceramide						3A	G83212YI			SUGARBIND	
GSD:10a7a223-3fe6-42ae-b4aa-9c3de79a9f67	Lactosylceramides						3A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GSD:cabb56b2-34c2-5250-be10-65af64594104	Lewis antigens	Lewis-type structures; Lewis type glycans; Lewis blood group antigens		Lewis a; Lewis b; Lewis x; Lewis y			3A				EOG_VARKI_4E	Some Lewis blood group antigens have important functions in selectin-dependent leukocyte extravasation and tumor cell metastasis.
GSD:5ce320b8-ced2-5597-9134-b409afd7632f	lipoglycan						3A				EOG_VARKI_4E	
GSD:dea28036-c3f0-562f-9196-0d68504e1445	lipophosphoglycan		LPG				3A				EOG_VARKI_4E	Virtually every known glycoconjugate of Leishmania shows some intersection with the LPG biosynthetic pathway.
GSD:f422a3ed-87ae-4f9b-9534-dbdbb335288c	Monosialodihexosylganglioside		GM3			II3NeuAc LacCer; Hematoside	3A	G91237TK			SUGARBIND; PUBDICT_GLYCAN_MOTIF	In this nomenclature, G refers to ganglioside series, the second letter refers to the number of sialic acid residues (mono, di, tri, quattro [or tetra], penta, etc.), and the number (1, 2, 3, etc.) refers to the order of migration of the ganglioside on thin-layer chromatography (TLC) (e.g., GM3 > GM2 > GM1) with respect to the starting point.
GSD:07f53917-abb0-5512-9eb2-b97850950eee	mucin-type O-glycans						3A				EOG_VARKI_4E; GSD_GLYGEN_V0	
GSD:b6aa2621-651c-5dc5-af13-e3dc0b932d37	N-glycans	asparagine–N-linked glycan; N-linked; N-linked oligosaccharide; N-glycan					3A	G78059CC; G90889KG; G28330DZ; G00027MO	GSD000131		EOG_VARKI_4E; GSD_GLYGEN_V0; SUGARBIND; PUBDICT_MOTIF_GTC	N-Glycans are covalently attached to protein at asparagine (Asn) residues by an N-glycosidic bond.
GSD:b4f83ac5-e741-4787-93e6-efafd2149d60	Neolactohexosylceramide		NLc6		Glycosphingolipid Neo-lacto series		3A	G84034JH			SUGARBIND; PUBDICT_GLYCAN_MOTIF	
GSD:7cee9dd6-9c05-54fc-947b-afca69f08b9e	O-GalNAc core structures	O-GalNAc cores		core 1; core 2; core 3; core 4; core 5; core 6; core 7; core 8			3A				EOG_VARKI_4E	
GSD:fa47b325-2aab-42f9-9d2d-b2499fab770c	O-GalNAc glycans						3A				EOG_VARKI_4E	Mucins are the class of glycoproteins carrying the greatest number of O-GalNAc glycans (also called mucin-type O-glycans), but this posttranslational modification is common among many glycoproteins.
GSD:d0dfe91d-737b-59d2-9fa5-746a0d0ed6ad	O-glycans	O-linked oligosaccharide; O-glycan					3A				EOG_VARKI_4E; GSD_GLYGEN_V0	Mucins are the class of glycoproteins carrying the greatest number of O-GalNAc glycans (also called mucin-type O-glycans), but this posttranslational modification is common among many glycoproteins.
GSD:a9cdd507-5984-5398-a41a-79a9dc01deb4	O-xylose-linked glycosaminoglycan	O-xylose-linked GAG chains					3A				EOG_VARKI_4E	
GSD:24ed65cb-f624-5126-8f05-af4d87063b0f	P blood group antigens						3A				EOG_VARKI_4E	
GSD:5e85053a-c1b5-4229-ae28-d8d75f7f7fe0	Pentasaccharide N-linked glycan core		3a			6a-mannopentaose; 3a,6a-mannopentaose	3A	G20624LQ			SUGARBIND; PUBDICT_GLYCAN_MOTIF	
GSD:b0c2ecca-a5ae-45b0-99ab-fad359da7570	seminolipid						3A	G72548RZ; G95090DW	GSD000147	GlycoMotif:GGM.000062; GlycoMotif:GDV.000050	GSD_GLYGEN_V0; SUGARBIND; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; PUBDICT_GLYCAN_MOTIF	
GSD:7d7d82c3-15e3-546f-a46d-f6187b6cbf2c	sialylated glycosphingolipid						3A				EOG_VARKI_4E	
GSD:665bc960-7f45-40fc-9b9c-507364b0dadc	SSEA			SSEA-1; SSEA-3; SSEA-4			3A	G85497PI; G99053DY			PUBDICT_GLYCAN_MOTIF	
GSD:fdd7fa6f-f8e8-4d12-9898-6e021e70bb74	Sulf-gangliotetraosyl ceramide						3A	G96614JE			SUGARBIND	
GSD:01ff59d2-19d2-4f7a-98f8-5c88a309e1e6	α(2-6)sialylÂ_ lactotetraosylceramide						3A				PUBDICT_GLYCONAVI_NAME	
GSD:10ae2b99-1d75-5290-a777-47b7b1fcaf32	2'-fucosyllactose						3B				EOG_VARKI_4E	
GSD:e3cf1a87-a350-4d72-b428-9d202157cbe6	2-Deoxyglucose						3B				PUBDICT_GLYCONAVI_NAME	Early studies with 2-deoxyglucose showed that the analog was converted to UDP-2-deoxyglucose, as well as to GDP-2-deoxyglucose and dolichol-P-2-deoxyglucose.
GSD:4b881b46-806a-4789-ae41-5afe9299cc6f	2-Deoxyribose						3B				PUBDICT_GLYCONAVI_NAME	
GSD:5a262e8e-7861-5764-aa44-fdfb05a1e92b	3-O-sulfated galactose	3-O-sulfated Gal					3B				EOG_VARKI_4E	
GSD:f0e62919-4120-5fd2-af20-33525dfb29a9	3-O-sulfated GlcNS6S						3B				EOG_VARKI_4E	
GSD:5f243ab7-64a6-5a23-9ce1-529071201a5a	6-O-sulfated glucosamine						3B				EOG_VARKI_4E	A family of plasma membrane endosulfatases (SULFs) can remove sulfate groups from internal 6-O-sulfated glucosamine residues in heparan sulfate and a heparanase can cleave the chains at limited sites.
