id	label	bgsl_curator_meta
http://rdf.glyconavi.org/CarTNa/CarTNa69/trivialname	B tetra L	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa67/trivialname	B tetra type 1	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa70/trivialname	B tetra type 2	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa37/trivialname	B2-tri	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa113/trivialname	Bacillosamine	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa133/trivialname	Boivinose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa103/trivialname	CT/Sda	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa134/trivialname	Cellobiose	"{""keep"": true, ""suggested_class"": ""DISCARD""}"
http://rdf.glyconavi.org/CarTNa/CarTNa135/trivialname	Cellotriose	"{""keep"": true, ""suggested_class"": ""DISCARD""}"
http://rdf.glyconavi.org/CarTNa/CarTNa3/trivialname	Ceramide trihexosides(CTH)	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa136/trivialname	Chacotriose	"{""keep"": true, ""suggested_class"": ""DISCARD""}"
http://rdf.glyconavi.org/CarTNa/CarTNa137/trivialname	Chalcose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa138/trivialname	Cladinose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa139/trivialname	Colitose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa140/trivialname	Cymarose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa201/trivialname	D-Fucitol	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa206/trivialname	D-Galactosaminitol	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa114/trivialname	Daunosamine	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa115/trivialname	Desosamine	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa82/trivialname	Di-LN	"{""keep"": true, ""suggested_class"": ""1B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa74/trivialname	Di-LeA	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa78/trivialname	Di-Lec	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa79/trivialname	Di-Lex	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa143/trivialname	Diginose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa144/trivialname	Digitalose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa145/trivialname	Digitoxose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa198/trivialname	Erythrose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa199/trivialname	Erythrulose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa146/trivialname	Evalose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa147/trivialname	Evernitrose	"{""keep"": true, ""suggested_class"": ""3B""}"
