id	label	glytoucan_id	aliases	url
CCRC.000070	P antigen	G00061MO		https://glycomotif.glyomics.org/glycomotif/CCRC.000070
CCRC.000071	Isoglobotetraosylceramide	G19926LY		https://glycomotif.glyomics.org/glycomotif/CCRC.000071
CCRC.000073	Mono-sulfated globotetraosylceramide	G50866KI		https://glycomotif.glyomics.org/glycomotif/CCRC.000073
CCRC.000074	Sulfo-isogloboside	G56133NW		https://glycomotif.glyomics.org/glycomotif/CCRC.000074
CCRC.000075	LcGg4	G85237WB		https://glycomotif.glyomics.org/glycomotif/CCRC.000075
CCRC.000076	Gb5	G19298OA		https://glycomotif.glyomics.org/glycomotif/CCRC.000076
CCRC.000077	Paragloboside	G48059CD		https://glycomotif.glyomics.org/glycomotif/CCRC.000077
CCRC.000078	GL-6 fucosylated	G83120FP		https://glycomotif.glyomics.org/glycomotif/CCRC.000078
CCRC.000079	SSEA-3	G19298OA		https://glycomotif.glyomics.org/glycomotif/CCRC.000079
CCRC.000080	GL-7 globoseries ganglioside	G42784QY		https://glycomotif.glyomics.org/glycomotif/CCRC.000080
CCRC.000081	Sialosyl paragloboside	G98750DB		https://glycomotif.glyomics.org/glycomotif/CCRC.000081
CCRC.000082	Disialosyl globopentaosylceramide	G75814EP		https://glycomotif.glyomics.org/glycomotif/CCRC.000082
CCRC.000083	Cytolipin R	G19926LY		https://glycomotif.glyomics.org/glycomotif/CCRC.000083
CCRC.000084	Forssman glycolipid	G00064MO		https://glycomotif.glyomics.org/glycomotif/CCRC.000084
CCRC.000085	para-Forssman glycolipid	G98848EU		https://glycomotif.glyomics.org/glycomotif/CCRC.000085
CCRC.000087	Blood group B	G65112QB		https://glycomotif.glyomics.org/glycomotif/CCRC.000087
CCRC.000088	Blood group A	G88356HA		https://glycomotif.glyomics.org/glycomotif/CCRC.000088
CCRC.000089	GM4	G77824XV		https://glycomotif.glyomics.org/glycomotif/CCRC.000089
CCRC.000090	GM3	G56516VH		https://glycomotif.glyomics.org/glycomotif/CCRC.000090
CCRC.000091	GD3	G81928IQ		https://glycomotif.glyomics.org/glycomotif/CCRC.000091
CCRC.000092	GT3	G33570YF		https://glycomotif.glyomics.org/glycomotif/CCRC.000092
CCRC.000093	9-O-Acetyl GD3	G81928IQ		https://glycomotif.glyomics.org/glycomotif/CCRC.000093
CCRC.000094	GD2	G41759HA		https://glycomotif.glyomics.org/glycomotif/CCRC.000094
CCRC.000095	GM2	G61168WC		https://glycomotif.glyomics.org/glycomotif/CCRC.000095
CCRC.000096	N-Glycolyl-GM2	G18221CF		https://glycomotif.glyomics.org/glycomotif/CCRC.000096
CCRC.000097	Sialopentaosylceramide	G96400MT		https://glycomotif.glyomics.org/glycomotif/CCRC.000097
CCRC.000098	GM1	G46613JI		https://glycomotif.glyomics.org/glycomotif/CCRC.000098
CCRC.000099	Asialo-GM1	G00407UJ		https://glycomotif.glyomics.org/glycomotif/CCRC.000099
CCRC.000100	cisGM1	G14633CL		https://glycomotif.glyomics.org/glycomotif/CCRC.000100
CCRC.000101	2-Fucosyl-GM1	G56526JU		https://glycomotif.glyomics.org/glycomotif/CCRC.000101
CCRC.000102	B-GM1	G46884IT		https://glycomotif.glyomics.org/glycomotif/CCRC.000102
CCRC.000103	2-Fucosyl-GD1b	G67383AR		https://glycomotif.glyomics.org/glycomotif/CCRC.000103
CCRC.000104	B-GD1b	G29966WK		https://glycomotif.glyomics.org/glycomotif/CCRC.000104
CCRC.000105	GD1	G24638PB		https://glycomotif.glyomics.org/glycomotif/CCRC.000105
CCRC.000106	GD1a	G13258LA		https://glycomotif.glyomics.org/glycomotif/CCRC.000106
CCRC.000107	GD1a	G69277LC		https://glycomotif.glyomics.org/glycomotif/CCRC.000107
CCRC.000108	GD1b	G97612UN		https://glycomotif.glyomics.org/glycomotif/CCRC.000108
CCRC.000109	GT2	G35228ZS		https://glycomotif.glyomics.org/glycomotif/CCRC.000109
CCRC.000110	GT1a	G93468NI		https://glycomotif.glyomics.org/glycomotif/CCRC.000110
CCRC.000111	GT1aa	G17486WU		https://glycomotif.glyomics.org/glycomotif/CCRC.000111
CCRC.000112	GT1b	G05952XV		https://glycomotif.glyomics.org/glycomotif/CCRC.000112
CCRC.000113	GT1c	G50762GU		https://glycomotif.glyomics.org/glycomotif/CCRC.000113
CCRC.000114	GQ1aa	G26199BG		https://glycomotif.glyomics.org/glycomotif/CCRC.000114
CCRC.000115	GQ1b	G17077FL		https://glycomotif.glyomics.org/glycomotif/CCRC.000115
CCRC.000116	GQ1ba	G49791FJ		https://glycomotif.glyomics.org/glycomotif/CCRC.000116
CCRC.000117	GQ1c	G54442GQ		https://glycomotif.glyomics.org/glycomotif/CCRC.000117
CCRC.000118	GP1c	G77608BK		https://glycomotif.glyomics.org/glycomotif/CCRC.000118
CCRC.000119	GP1ca	G16999RL		https://glycomotif.glyomics.org/glycomotif/CCRC.000119
CCRC.000120	GH1ca	G86139YL		https://glycomotif.glyomics.org/glycomotif/CCRC.000120
CCRC.000121	Mono-fucosyl LN5	G93536PN		https://glycomotif.glyomics.org/glycomotif/CCRC.000121
CCRC.000122	Mono-fucosyl LN3	G80291PD		https://glycomotif.glyomics.org/glycomotif/CCRC.000122
CCRC.000124	Extended tetrafucosyl-Leb338	G75811PV		https://glycomotif.glyomics.org/glycomotif/CCRC.000124
CCRC.000126	Dimeric Lea	G06148DR		https://glycomotif.glyomics.org/glycomotif/CCRC.000126
CCRC.000127	Sialyl Lea glycolipid	G91326YS		https://glycomotif.glyomics.org/glycomotif/CCRC.000127
CCRC.000128	Monosialylganglioside LSTb	G72506RN		https://glycomotif.glyomics.org/glycomotif/CCRC.000128
CCRC.000129	HNK-expressing SGLPG	G43040ZY		https://glycomotif.glyomics.org/glycomotif/CCRC.000129
