id	label	glytoucan_id	names	keywords	url	bgsl_curator_meta
CCRC.000039	Blood group A	G33888AF			https://glycomotif.glyomics.org/glycomotif/CCRC.000039	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000040	Blood group A1	G03986GH			https://glycomotif.glyomics.org/glycomotif/CCRC.000040	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000041	Blood group A2	G19804SF			https://glycomotif.glyomics.org/glycomotif/CCRC.000041	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000042	Blood group H	G50899UD			https://glycomotif.glyomics.org/glycomotif/CCRC.000042	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000043	Blood group B	G26934CO			https://glycomotif.glyomics.org/glycomotif/CCRC.000043	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000044	Blood group A	G58507AZ			https://glycomotif.glyomics.org/glycomotif/CCRC.000044	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000045	Blood group H	G49963IQ			https://glycomotif.glyomics.org/glycomotif/CCRC.000045	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000046	Blood group B	G60395SO			https://glycomotif.glyomics.org/glycomotif/CCRC.000046	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000047	Blood group A	G48600JD			https://glycomotif.glyomics.org/glycomotif/CCRC.000047	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000048	Lewis b	G49963IQ			https://glycomotif.glyomics.org/glycomotif/CCRC.000048	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000049	4'-sulfated LDN	G18464VS			https://glycomotif.glyomics.org/glycomotif/CCRC.000049	"{""keep"": true, ""suggested_class"": ""1B""}"
CCRC.000050	Sialylated LDN	G55583HW			https://glycomotif.glyomics.org/glycomotif/CCRC.000050	"{""keep"": true, ""suggested_class"": ""1B""}"
CCRC.000051	Sda/CT antigen	G00062MO			https://glycomotif.glyomics.org/glycomotif/CCRC.000051	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000053	SLex Core 2 O-glycan glycan	G71121NN			https://glycomotif.glyomics.org/glycomotif/CCRC.000053	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000057	O-Mannose Lex	G72060BE			https://glycomotif.glyomics.org/glycomotif/CCRC.000057	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000058	HNK-1 antigen	G54406UD			https://glycomotif.glyomics.org/glycomotif/CCRC.000058	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000059	HNK-1 on O-mannose	G60606QD			https://glycomotif.glyomics.org/glycomotif/CCRC.000059	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000063	Sulfatide	G40843KY			https://glycomotif.glyomics.org/glycomotif/CCRC.000063	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000064	Lactosylceramide	G74621DY			https://glycomotif.glyomics.org/glycomotif/CCRC.000064	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000065	Ceramide dihexosyl sulfate	G04416BG			https://glycomotif.glyomics.org/glycomotif/CCRC.000065	"{""keep"": true, ""suggested_class"": ""1B""}"
CCRC.000066	Monosulfated gangliotetraosylceramide	G59736KH			https://glycomotif.glyomics.org/glycomotif/CCRC.000066	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000067	Lactotriaosylceramide	G87727XV			https://glycomotif.glyomics.org/glycomotif/CCRC.000067	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000068	Pk antigen	G00059MO			https://glycomotif.glyomics.org/glycomotif/CCRC.000068	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000069	P1 antigen	G00060MO			https://glycomotif.glyomics.org/glycomotif/CCRC.000069	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000070	P antigen	G00061MO			https://glycomotif.glyomics.org/glycomotif/CCRC.000070	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000071	Isoglobotetraosylceramide	G19926LY			https://glycomotif.glyomics.org/glycomotif/CCRC.000071	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000073	Mono-sulfated globotetraosylceramide	G50866KI			https://glycomotif.glyomics.org/glycomotif/CCRC.000073	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000074	Sulfo-isogloboside	G56133NW			https://glycomotif.glyomics.org/glycomotif/CCRC.000074	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000075	LcGg4	G85237WB			https://glycomotif.glyomics.org/glycomotif/CCRC.000075	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000076	Gb5	G19298OA			https://glycomotif.glyomics.org/glycomotif/CCRC.000076	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000077	Paragloboside	G48059CD			https://glycomotif.glyomics.org/glycomotif/CCRC.000077	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000078	GL-6 fucosylated	G83120FP			https://glycomotif.glyomics.org/glycomotif/CCRC.000078	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000079	SSEA-3	G19298OA			https://glycomotif.glyomics.org/glycomotif/CCRC.000079	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000080	GL-7 globoseries ganglioside	G42784QY			https://glycomotif.glyomics.org/glycomotif/CCRC.000080	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000081	Sialosyl paragloboside	G98750DB			https://glycomotif.glyomics.org/glycomotif/CCRC.000081	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000082	Disialosyl globopentaosylceramide	G75814EP			https://glycomotif.glyomics.org/glycomotif/CCRC.000082	"{""keep"": true, ""suggested_class"": ""1A""}"
