sheet	row	raw_term	class_code	method	evidence
pubdict-glyconavi-abbrev	28	A tetra L	1A	1C_openai:gpt-5.4	Blood group A tetraose canonical entity
pubdict-glyconavi-abbrev	29	A tetra type 1	1A	1C_openai:gpt-5.4	A type 1 blood-group determinant
pubdict-glyconavi-abbrev	30	A tetra type 2	1A	1C_openai:gpt-5.4	A type 2 blood-group determinant
pubdict-glyconavi-abbrev	31	B tetra L	1A	1C_openai:gpt-5.4	Blood group B tetraose canonical entity
pubdict-glyconavi-abbrev	32	B tetra type 1	1A	1C_openai:gpt-5.4	B type 1 blood-group determinant
pubdict-glyconavi-abbrev	33	B tetra type 2	1A	1C_openai:gpt-5.4	B type 2 blood-group determinant
pubdict-glyconavi-abbrev	34	B2-tri	1A	1C_openai:gpt-5.4	Blood group B type 2 trisaccharide variant
pubdict-glyconavi-abbrev	35	CT/Sda	1A	1C_openai:gpt-5.4	Sda antigen is a canonical epitope
pubdict-glyconavi-abbrev	36	Ceramide trihexosides(CTH)	1A	1C_openai:gpt-5.4	Ceramide trihexoside equals globotriaosylceramide
pubdict-glyconavi-abbrev	37	Di-LN	1B	1C_openai:gpt-5.4	Di-LN is a lactosamine structural feature
pubdict-glyconavi-abbrev	39	Di-Lec	1A	1C_openai:gpt-5.4	Di-Lewis c based canonical Lewis epitope
pubdict-glyconavi-abbrev	55	GNLN	2B	1C_openai:gpt-5.4	Falls through as specific glycan shorthand term
pubdict-glyconavi-abbrev	61	Gala3-type1	1A	1C_openai:gpt-5.4	Alpha-gal type 1 canonical epitope variant
pubdict-glyconavi-abbrev	62	Gala3Lex	1A	1C_openai:gpt-5.4	Lewis x canonical epitope with alpha-gal variant
pubdict-glyconavi-abbrev	65	Gangliotetraose	1A	1C_openai:gpt-5.4	canonical named ganglio-series oligosaccharide
pubdict-glyconavi-abbrev	66	Gangliotriose	1A	1C_openai:gpt-5.4	canonical named ganglio-series oligosaccharide
pubdict-glyconavi-abbrev	68	Globotetraose	1A	1C_openai:gpt-5.4	canonical named globo-series oligosaccharide
pubdict-glyconavi-abbrev	69	Globotriose	1A	1C_openai:gpt-5.4	canonical named globo-series oligosaccharide
pubdict-glyconavi-abbrev	70	H-type1	1A	1C_openai:gpt-5.4	H type 1 blood-group epitope
pubdict-glyconavi-abbrev	71	H-type2	1A	1C_openai:gpt-5.4	H type 2 blood-group epitope
pubdict-glyconavi-abbrev	72	H2	1A	1C_openai:gpt-5.4	shorthand for canonical H antigen type
pubdict-glyconavi-abbrev	73	H3	1A	1C_openai:gpt-5.4	shorthand for canonical H antigen type
pubdict-glyconavi-abbrev	74	Isoglobotriose	1A	1C_openai:gpt-5.4	canonical named globo-series oligosaccharide
pubdict-glyconavi-abbrev	83	Lactosylceramides	1A	1C_openai:gpt-5.4	specific lactosylceramide named entity
pubdict-glyconavi-abbrev	84	Lactotetraose	1A	1C_openai:gpt-5.4	canonical named lacto-series oligosaccharide
pubdict-glyconavi-abbrev	86	LeALex	1A	1C_openai:gpt-5.4	canonical Lewis epitope name
pubdict-glyconavi-abbrev	87	Lec	1A	1C_openai:gpt-5.4	Lewis c canonical epitope shorthand
pubdict-glyconavi-abbrev	94	Neolactotetraose	1A	1C_openai:gpt-5.4	canonical named neolacto-series oligosaccharide
pubdict-glyconavi-abbrev	95	P1 penta	1A	1C_openai:gpt-5.4	canonical P1-series glycan name
pubdict-glyconavi-abbrev	96	P1 penta	1A	1C_openai:gpt-5.4	canonical P1-series glycan name
pubdict-glyconavi-abbrev	97	P1 tetra	1A	1C_openai:gpt-5.4	canonical P1-series glycan name
pubdict-glyconavi-abbrev	98	P1 tri	1A	1C_openai:gpt-5.4	canonical P1-series glycan name
pubdict-glyconavi-abbrev	99	Pk	1A	1C_openai:gpt-5.4	Pk antigen canonical name
pubdict-glyconavi-abbrev	101	Tri-LN	1B	1C_openai:gpt-5.4	lactosamine repeat feature shorthand
