id	label	glytoucan_id	names	keywords	url	bgsl_curator_meta
GGM.000075	LcGg4	G62554JH		Glycolipid	https://glycomotif.glyomics.org/glycomotif/GGM.000075	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000076	Gb5	G99053DY	Globopentaosylceramide	Glycolipid	https://glycomotif.glyomics.org/glycomotif/GGM.000076	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000077	Paragloboside	G58896AZ		Glycolipid	https://glycomotif.glyomics.org/glycomotif/GGM.000077	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000078	GL-6 fucosylated	G98465JN	globoH	Glycolipid	https://glycomotif.glyomics.org/glycomotif/GGM.000078	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000079	SSEA-3	G99053DY		Glycolipid	https://glycomotif.glyomics.org/glycomotif/GGM.000079	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000080	GL-7 globoseries ganglioside	G32254QI	SSEA-4	Glycolipid	https://glycomotif.glyomics.org/glycomotif/GGM.000080	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000081	Sialosyl paragloboside	G50123ZO		Glycolipid	https://glycomotif.glyomics.org/glycomotif/GGM.000081	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000082	Disialosyl globopentaosylceramide	G97932OH		Glycolipid	https://glycomotif.glyomics.org/glycomotif/GGM.000082	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000083	Cytolipin R	G57710SU		Glycolipid	https://glycomotif.glyomics.org/glycomotif/GGM.000083	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000084	Forssman glycolipid	G80062GG	Globopentosylceramide|Forssman antigen	Glycolipid	https://glycomotif.glyomics.org/glycomotif/GGM.000084	"{""keep"": true, ""suggested_class"": ""1A"", ""notes"": ""Has exact synonym Forssman antigen. Has related synonym Globopentosylceramide.""}"
GGM.000085	para-Forssman glycolipid	G51699SI		Glycolipid	https://glycomotif.glyomics.org/glycomotif/GGM.000085	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000086	Blood group H (type 4)	G98465JN		Blood group H|Blood group type 4|Glycolipid	https://glycomotif.glyomics.org/glycomotif/GGM.000086	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000087	Blood group B (type 4)	G25216QA		Blood group B|Blood group type 4|Glycolipid	https://glycomotif.glyomics.org/glycomotif/GGM.000087	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000088	Blood group A (type 4)	G37830TX		Blood group A|Blood group type 4|Glycolipid	https://glycomotif.glyomics.org/glycomotif/GGM.000088	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000089	GM4	G30207PZ		Glycolipid|Monosialylated ganglioside	https://glycomotif.glyomics.org/glycomotif/GGM.000089	"{""keep"": true, ""suggested_class"": ""1A""}"
