id	label	glytoucan_id	aliases	url
GGM.000113	GT1c	G78818SP	Glycolipid|Trisialylated ganglioside	https://glycomotif.glyomics.org/glycomotif/GGM.000113
GGM.000114	GQ1aa	G90598GO	GQ1aalpha|Glycolipid|Tetrasialylated ganglioside	https://glycomotif.glyomics.org/glycomotif/GGM.000114
GGM.000115	GQ1b	G18625KA	Glycolipid|Tetrasialylated ganglioside	https://glycomotif.glyomics.org/glycomotif/GGM.000115
GGM.000116	GQ1ba	G54733XO	GQ1balpha|Glycolipid|Tetrasialylated ganglioside	https://glycomotif.glyomics.org/glycomotif/GGM.000116
GGM.000117	GQ1c	G99524KA	Glycolipid|Tetrasialylated ganglioside	https://glycomotif.glyomics.org/glycomotif/GGM.000117
GGM.000118	GP1c	G93805MV	Glycolipid|Pentasialylated ganglioside	https://glycomotif.glyomics.org/glycomotif/GGM.000118
GGM.000119	GP1ca	G04433GV	GP1calpha|Glycolipid|Pentasialylated ganglioside	https://glycomotif.glyomics.org/glycomotif/GGM.000119
GGM.000120	GH1ca	G14091MR	GH1calpha|Glycolipid|Hexasialylated ganglioside	https://glycomotif.glyomics.org/glycomotif/GGM.000120
GGM.000121	Mono-fucosyl LN5	G64227KZ	Glycolipid|LacNAc|Mono-fucosyl LN_5|N-acetyllactosamine	https://glycomotif.glyomics.org/glycomotif/GGM.000121
GGM.000122	Mono-fucosyl LN3	G65223RT	Glycolipid|LacNAc|Mono-fucosyl LN_3|N-acetyllactosamine	https://glycomotif.glyomics.org/glycomotif/GGM.000122
GGM.000201	B antigen (type 3)	G88313DY	Blood group B|Blood group type 3	https://glycomotif.glyomics.org/glycomotif/GGM.000201
GGM.000252	Polysialic acid	G77612ZC		https://glycomotif.glyomics.org/glycomotif/GGM.000252
GGM.001001	N-Glycan core basic	G00026MO	N-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001001
GGM.001002	N-Glycan high mannose	G00028MO	N-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001002
GGM.001003	N-Glycan hybrid	G19610CW	N-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001003
GGM.001004	N-Glycan complex	G35698AZ	N-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001004
GGM.001005	O-Glycan core 1	G00031MO	Mucin-type O-glycan core|O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001005
GGM.001006	O-Glycan core 1 fuzzy	G00032MO	Mucin-type O-glycan core|O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001006
GGM.001007	O-Glycan core 2	G00033MO	Mucin-type O-glycan core|O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001007
GGM.001008	O-Glycan core 2 fuzzy	G00034MO	Mucin-type O-glycan core|O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001008
GGM.001009	O-Glycan core 3	G00035MO	Mucin-type O-glycan core|O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001009
GGM.001010	O-Glycan core 3 fuzzy	G00036MO	Mucin-type O-glycan core|O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001010
GGM.001011	O-Glycan core 4	G00037MO	Mucin-type O-glycan core|O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001011
GGM.001012	O-Glycan core 4 fuzzy	G00038MO	Mucin-type O-glycan core|O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001012
GGM.001013	O-Glycan core 5	G00039MO	Mucin-type O-glycan core|O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001013
GGM.001014	O-Glycan core 5 fuzzy	G00040MO	Mucin-type O-glycan core|O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001014
GGM.001015	O-Glycan core 6	G00041MO	Mucin-type O-glycan core|O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001015
GGM.001016	O-Glycan core 6 fuzzy	G00042MO	Mucin-type O-glycan core|O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001016
